"Geographic Area Name","50 or more (2021)","MoE"
"New York city, New York","1,213,187","± 15,500"
"Rochester city, New York","8,985","± 1,501"
"Schenectady city, New York","2,654","± 915"
"Syracuse city, New York","9,491","± 1,554"
"Yonkers city, New York","22,725","± 2,468"
"Asheville city, North Carolina","3,282","± 981"
"Cary town, North Carolina","3,637","± 961"
"Charlotte city, North Carolina","40,615","± 3,172"
"Concord city, North Carolina","1,092","± 691"
"Durham city, North Carolina","10,619","± 1,657"
"Fayetteville city, North Carolina","1,737","± 684"
"Gastonia city, North Carolina","991","± 529"
"Greensboro city, North Carolina","5,977","± 1,809"
"Greenville city, North Carolina","1,840","± 866"
"High Point city, North Carolina","1,394","± 468"
"Jacksonville city, North Carolina","1,541","± 1,400"
"Raleigh city, North Carolina","20,050","± 2,594"
"Wilmington city, North Carolina","4,214","± 1,248"
"Winston-Salem city, North Carolina","5,803","± 1,267"
"Bismarck city, North Dakota","2,874","± 895"
"Fargo city, North Dakota","5,646","± 1,364"
"Akron city, Ohio","5,670","± 1,260"
"Canton city, Ohio","2,311","± 809"
"Cincinnati city, Ohio","21,127","± 2,597"
"Cleveland city, Ohio","26,651","± 2,603"
"Columbus city, Ohio","28,608","± 2,744"
"Dayton city, Ohio","4,585","± 1,169"
"Lorain city, Ohio","626","± 482"
"Parma city, Ohio","2,123","± 672"
"Toledo city, Ohio","7,134","± 1,525"
"Broken Arrow city, Oklahoma","979","± 389"
"Edmond city, Oklahoma","915","± 420"
"Lawton city, Oklahoma","619","± 440"
"Norman city, Oklahoma","2,791","± 1,112"
"Oklahoma City city, Oklahoma","13,807","± 2,186"
"Tulsa city, Oklahoma","11,234","± 1,200"
"Beaverton city, Oregon","6,038","± 1,253"
"Bend city, Oregon","1,873","± 745"
"Eugene city, Oregon","6,510","± 1,394"
"Gresham city, Oregon","4,386","± 1,058"
"Hillsboro city, Oregon","5,655","± 1,307"
"Medford city, Oregon","2,705","± 945"
"Portland city, Oregon","49,238","± 3,599"
"Salem city, Oregon","3,211","± 801"
"Allentown city, Pennsylvania","3,874","± 1,130"
"Bethlehem city, Pennsylvania","2,135","± 662"
"Erie city, Pennsylvania","2,326","± 614"
"Philadelphia city, Pennsylvania","82,129","± 4,521"
"Pittsburgh city, Pennsylvania","18,374","± 2,098"
"Reading city, Pennsylvania","1,523","± 558"
"Scranton city, Pennsylvania","1,863","± 532"
"Cranston city, Rhode Island","1,400","± 787"
"Pawtucket city, Rhode Island","2,736","± 805"
"Providence city, Rhode Island","10,589","± 1,726"
"Warwick city, Rhode Island","2,125","± 898"
"Charleston city, South Carolina","8,097","± 1,626"
"Columbia city, South Carolina","5,802","± 1,316"
"Greenville city, South Carolina","5,016","± 1,174"
"Mount Pleasant town, South Carolina","3,527","± 1,499"
"North Charleston city, South Carolina","1,849","± 949"
"Rock Hill city, South Carolina","1,389","± 580"
"Rapid City city, South Dakota","1,687","± 651"
"Sioux Falls city, South Dakota","4,501","± 1,212"
"Chattanooga city, Tennessee","6,112","± 1,137"
"Clarksville city, Tennessee","821","± 544"
"Franklin city, Tennessee","2,232","± 748"
"Jackson city, Tennessee","731","± 473"
"Johnson City city, Tennessee","1,669","± 800"
"Knoxville city, Tennessee","8,173","± 1,485"
"Memphis city, Tennessee","18,009","± 2,610"
"Murfreesboro city, Tennessee","4,043","± 1,350"
"Nashville-Davidson metropolitan government (balance), Tennessee","39,419","± 3,511"
"Abilene city, Texas","1,031","± 538"
"Allen city, Texas","4,632","± 1,672"
"Amarillo city, Texas","3,729","± 1,142"
"Arlington city, Texas","8,092","± 1,888"
"Austin city, Texas","80,709","± 5,572"
"Baytown city, Texas","1,601","± 823"
"Beaumont city, Texas","1,469","± 611"
"Brownsville city, Texas","2,465","± 852"
"Bryan city, Texas","3,411","± 1,207"
"Carrollton city, Texas","4,594","± 1,603"
"Cedar Park city, Texas","2,138","± 867"
"College Station city, Texas","3,642","± 1,067"
"Conroe city, Texas","2,642","± 1,177"
"Corpus Christi city, Texas","5,689","± 1,251"
"Dallas city, Texas","108,657","± 6,813"
"Denton city, Texas","4,940","± 1,323"
"Edinburg city, Texas","461","± 486"
"El Paso city, Texas","12,638","± 2,036"
"Fort Worth city, Texas","25,226","± 2,518"
"Frisco city, Texas","10,512","± 2,206"
"Garland city, Texas","3,532","± 1,225"
"Georgetown city, Texas","1,239","± 614"
"Grand Prairie city, Texas","3,923","± 1,453"
"Harlingen city, Texas","825","± 693"
"Houston city, Texas","191,749","± 8,915"
"Irving city, Texas","13,998","± 2,474"
"Killeen city, Texas","327","± 194"
"Laredo city, Texas","4,610","± 1,615"
"League City city, Texas","2,489","± 1,187"
"Leander city, Texas","316","± 326"
"Lewisville city, Texas","5,638","± 1,413"
"Longview city, Texas","1,653","± 658"
"Lubbock city, Texas","7,808","± 1,556"
"McAllen city, Texas","1,615","± 697"
"McKinney city, Texas","6,952","± 1,717"
"Mansfield city, Texas","2,061","± 1,190"
"Mesquite city, Texas","2,238","± 1,189"
"Midland city, Texas","4,525","± 1,611"
"Mission city, Texas","425","± 364"
"New Braunfels city, Texas","1,953","± 951"
"North Richland Hills city, Texas","2,093","± 832"
"Odessa city, Texas","4,032","± 2,028"
"Pasadena city, Texas","7,591","± 1,821"
"Pearland city, Texas","1,211","± 899"
"Pflugerville city, Texas","414","± 328"
"Pharr city, Texas","337","± 350"
"Plano city, Texas","13,856","± 1,759"
"Richardson city, Texas","7,542","± 1,291"
"Round Rock city, Texas","3,854","± 1,396"
"San Angelo city, Texas","3,311","± 1,094"
"San Antonio city, Texas","39,630","± 3,771"
"San Marcos city, Texas","4,472","± 1,975"
"Sugar Land city, Texas","1,587","± 554"
"Temple city, Texas","2,865","± 1,067"
"The Woodlands CDP, Texas","3,013","± 1,122"
"Tyler city, Texas","1,487","± 780"
"Victoria city, Texas","473","± 361"
"Waco city, Texas","3,563","± 1,090"
"Wichita Falls city, Texas","1,738","± 659"
"Layton city, Utah","758","± 528"
"Lehi city, Utah","226","± 197"
"Ogden city, Utah","1,590","± 520"
"Orem city, Utah","1,102","± 584"
"Provo city, Utah","1,846","± 581"
"St. George city, Utah","1,282","± 619"
"Salt Lake City city, Utah","17,626","± 2,369"
"Sandy city, Utah","2,217","± 949"
"West Jordan city, Utah","1,455","± 724"
"West Valley City city, Utah","1,390","± 617"
"Alexandria city, Virginia","28,805","± 2,109"
"Arlington CDP, Virginia","55,028","± 2,525"
"Centreville CDP, Virginia","1,183","± 498"
"Chesapeake city, Virginia","2,610","± 1,356"
"Hampton city, Virginia","2,593","± 1,076"
"Lynchburg city, Virginia","1,052","± 393"
"Newport News city, Virginia","5,015","± 1,199"
"Norfolk city, Virginia","8,436","± 1,469"
"Portsmouth city, Virginia","1,687","± 588"
"Richmond city, Virginia","14,275","± 1,922"
"Roanoke city, Virginia","2,128","± 652"
"Suffolk city, Virginia","1,224","± 403"
"Virginia Beach city, Virginia","10,278","± 2,081"
"Auburn city, Washington","2,749","± 688"
