"Geographic Area Name","20 to 49 (2021)","MoE"
"Jacksonville city, North Carolina","1,089","± 976"
"Raleigh city, North Carolina","13,087","± 2,662"
"Wilmington city, North Carolina","5,904","± 1,722"
"Winston-Salem city, North Carolina","4,049","± 1,093"
"Bismarck city, North Dakota","3,672","± 1,132"
"Fargo city, North Dakota","14,100","± 2,402"
"Akron city, Ohio","2,714","± 898"
"Canton city, Ohio","205","± 174"
"Cincinnati city, Ohio","10,683","± 1,797"
"Cleveland city, Ohio","6,769","± 1,536"
"Columbus city, Ohio","19,038","± 2,550"
"Dayton city, Ohio","2,250","± 944"
"Lorain city, Ohio","866","± 523"
"Parma city, Ohio","317","± 296"
"Toledo city, Ohio","4,146","± 1,234"
"Broken Arrow city, Oklahoma","1,005","± 323"
"Edmond city, Oklahoma","685","± 590"
"Lawton city, Oklahoma","1,249","± 674"
"Norman city, Oklahoma","941","± 699"
"Oklahoma City city, Oklahoma","7,274","± 1,820"
"Tulsa city, Oklahoma","8,530","± 1,226"
"Beaverton city, Oregon","3,045","± 1,010"
"Bend city, Oregon","585","± 457"
"Eugene city, Oregon","3,113","± 1,041"
"Gresham city, Oregon","3,793","± 1,195"
"Hillsboro city, Oregon","1,591","± 634"
"Medford city, Oregon","730","± 635"
"Portland city, Oregon","19,891","± 2,658"
"Salem city, Oregon","2,855","± 1,127"
"Allentown city, Pennsylvania","1,827","± 843"
"Bethlehem city, Pennsylvania","782","± 494"
"Erie city, Pennsylvania","646","± 368"
"Philadelphia city, Pennsylvania","22,659","± 2,874"
"Pittsburgh city, Pennsylvania","6,881","± 1,370"
"Reading city, Pennsylvania","1,100","± 531"
"Scranton city, Pennsylvania","1,072","± 502"
"Cranston city, Rhode Island","611","± 321"
"Pawtucket city, Rhode Island","631","± 457"
"Providence city, Rhode Island","2,006","± 797"
"Warwick city, Rhode Island","2,008","± 1,045"
"Charleston city, South Carolina","3,477","± 1,553"
"Columbia city, South Carolina","2,821","± 1,225"
"Greenville city, South Carolina","4,593","± 1,263"
"Mount Pleasant town, South Carolina","1,872","± 1,088"
"North Charleston city, South Carolina","2,899","± 1,208"
"Rock Hill city, South Carolina","2,139","± 895"
"Rapid City city, South Dakota","2,430","± 814"
"Sioux Falls city, South Dakota","9,288","± 1,564"
"Chattanooga city, Tennessee","6,778","± 1,338"
"Clarksville city, Tennessee","1,656","± 1,213"
"Franklin city, Tennessee","1,304","± 544"
"Jackson city, Tennessee","378","± 268"
"Johnson City city, Tennessee","788","± 492"
"Knoxville city, Tennessee","6,170","± 1,378"
"Memphis city, Tennessee","5,214","± 1,199"
"Murfreesboro city, Tennessee","4,971","± 1,957"
"Nashville-Davidson metropolitan government (balance), Tennessee","17,545","± 2,744"
"Abilene city, Texas","1,149","± 620"
"Allen city, Texas","970","± 588"
"Amarillo city, Texas","2,963","± 991"
"Arlington city, Texas","5,208","± 1,668"
"Austin city, Texas","41,881","± 5,001"
