"Geographic Area Name","Vacant (2024)","MoE"
"St. Charles city, Missouri","2,147","± 1,186"
"St. Joseph city, Missouri","5,113","± 1,399"
"St. Louis city, Missouri","26,057","± 2,631"
"Springfield city, Missouri","8,450","± 1,895"
"Billings city, Montana","3,270","± 1,288"
"Missoula city, Montana","2,334","± 1,110"
"Lincoln city, Nebraska","5,897","± 1,782"
"Omaha city, Nebraska","12,050","± 2,212"
"Enterprise CDP, Nevada","6,017","± 1,711"
"Henderson city, Nevada","7,790","± 2,181"
"Las Vegas city, Nevada","23,106","± 3,107"
"North Las Vegas city, Nevada","4,824","± 1,223"
"Paradise CDP, Nevada","16,125","± 2,224"
"Reno city, Nevada","11,459","± 2,186"
"Sparks city, Nevada","2,631","± 1,035"
"Spring Valley CDP, Nevada","6,896","± 1,668"
"Sunrise Manor CDP, Nevada","6,669","± 1,562"
"Manchester city, New Hampshire","3,240","± 1,241"
"Nashua city, New Hampshire","1,522","± 1,034"
"Bayonne city, New Jersey","1,912","± 883"
"Camden city, New Jersey","2,838","± 949"
"Clifton city, New Jersey","1,138","± 813"
"East Orange city, New Jersey","1,714","± 882"
"Elizabeth city, New Jersey","2,751","± 865"
"Jersey City city, New Jersey","10,499","± 2,211"
"Lakewood CDP, New Jersey","1,138","± 823"
"Newark city, New Jersey","10,973","± 1,691"
"Passaic city, New Jersey","793","± 485"
"Paterson city, New Jersey","2,724","± 822"
"Toms River CDP, New Jersey","3,587","± 1,156"
"Trenton city, New Jersey","1,613","± 705"
"Union City city, New Jersey","1,402","± 716"
"Albuquerque city, New Mexico","18,160","± 2,769"
"Las Cruces city, New Mexico","3,504","± 1,240"
"Rio Rancho city, New Mexico","2,043","± 1,266"
"Santa Fe city, New Mexico","5,389","± 1,316"
"Albany city, New York","3,915","± 1,087"
"Buffalo city, New York","16,913","± 2,497"
"Cheektowaga CDP, New York","2,041","± 872"
"Mount Vernon city, New York","2,111","± 868"
"New Rochelle city, New York","724","± 587"
"New York city, New York","357,981","± 13,584"
"Rochester city, New York","12,687","± 2,156"
"Schenectady city, New York","1,576","± 773"
"Syracuse city, New York","7,761","± 1,495"
"Yonkers city, New York","4,707","± 1,387"
"Apex town, North Carolina","1,263","± 762"
"Asheville city, North Carolina","16,757","± 2,429"
"Cary town, North Carolina","2,097","± 1,111"
"Charlotte city, North Carolina","34,701","± 4,382"
"Concord city, North Carolina","2,988","± 1,420"
"Durham city, North Carolina","12,931","± 2,705"
"Fayetteville city, North Carolina","9,801","± 1,147"
"Gastonia city, North Carolina","4,234","± 1,252"
"Greensboro city, North Carolina","9,549","± 1,973"
"Greenville city, North Carolina","5,777","± 1,564"
"High Point city, North Carolina","2,853","± 1,116"
"Huntersville town, North Carolina","786","± 619"
"Jacksonville city, North Carolina","1,831","± 918"
"Raleigh city, North Carolina","15,746","± 2,886"
"Wilmington city, North Carolina","5,655","± 1,461"
"Winston-Salem city, North Carolina","7,581","± 1,863"
"Bismarck city, North Dakota","1,518","± 965"
"Fargo city, North Dakota","1,289","± 717"
"Akron city, Ohio","7,910","± 1,735"
"Canton city, Ohio","3,938","± 1,326"
"Cincinnati city, Ohio","14,971","± 2,415"
"Cleveland city, Ohio","33,423","± 2,988"
"Columbus city, Ohio","39,902","± 4,475"
"Dayton city, Ohio","13,290","± 1,995"
"Lorain city, Ohio","3,353","± 1,278"
"Parma city, Ohio","1,627","± 980"
"Toledo city, Ohio","12,931","± 2,015"
"Broken Arrow city, Oklahoma","2,594","± 641"
"Edmond city, Oklahoma","3,271","± 1,220"
"Lawton city, Oklahoma","6,300","± 735"
"Norman city, Oklahoma","2,331","± 952"
"Oklahoma City city, Oklahoma","23,944","± 2,977"
"Tulsa city, Oklahoma","17,160","± 1,291"
"Beaverton city, Oregon","1,897","± 848"
"Bend city, Oregon","4,035","± 1,619"
"Eugene city, Oregon","5,385","± 1,504"
"Gresham city, Oregon","1,578","± 974"
"Hillsboro city, Oregon","2,521","± 1,209"
"Medford city, Oregon","2,335","± 949"
"Portland city, Oregon","21,480","± 3,043"
"Salem city, Oregon","5,143","± 1,672"
"Allentown city, Pennsylvania","4,213","± 1,347"
"Bethlehem city, Pennsylvania","1,600","± 893"
"Erie city, Pennsylvania","4,445","± 1,193"
"Philadelphia city, Pennsylvania","60,881","± 5,310"
"Pittsburgh city, Pennsylvania","24,916","± 3,109"
"Reading city, Pennsylvania","2,074","± 967"
"Scranton city, Pennsylvania","5,764","± 1,331"
"Cranston city, Rhode Island","1,951","± 909"
"Pawtucket city, Rhode Island","1,118","± 687"
"Providence city, Rhode Island","7,277","± 1,802"
"Warwick city, Rhode Island","1,278","± 783"
"Charleston city, South Carolina","9,218","± 2,364"
"Columbia city, South Carolina","8,128","± 1,451"
"Greenville city, South Carolina","3,507","± 1,178"
"Mount Pleasant town, South Carolina","3,101","± 1,242"
"North Charleston city, South Carolina","6,692","± 1,782"
"Rock Hill city, South Carolina","3,004","± 1,136"
"Rapid City city, South Dakota","3,557","± 1,240"
"Sioux Falls city, South Dakota","4,561","± 1,545"
"Chattanooga city, Tennessee","7,269","± 1,603"
"Clarksville city, Tennessee","3,784","± 1,370"
"Franklin city, Tennessee","3,058","± 1,124"
"Jackson city, Tennessee","1,107","± 660"
"Johnson City city, Tennessee","2,212","± 1,237"
"Knoxville city, Tennessee","9,507","± 1,872"
"Memphis city, Tennessee","40,929","± 3,418"
"Murfreesboro city, Tennessee","7,636","± 2,466"
"Nashville-Davidson metropolitan government (balance), Tennessee","38,734","± 4,354"
"Abilene city, Texas","7,240","± 1,542"
"Allen city, Texas","1,500","± 995"
"Amarillo city, Texas","8,602","± 1,788"
"Arlington city, Texas","12,762","± 2,457"
"Atascocita CDP, Texas","1,948","± 1,430"
"Austin city, Texas","34,024","± 4,504"
"Baytown city, Texas","3,996","± 1,174"
"Beaumont city, Texas","7,905","± 1,759"
"Brownsville city, Texas","3,478","± 898"
"Bryan city, Texas","3,126","± 1,129"
"Carrollton city, Texas","2,974","± 1,172"
"Cedar Park city, Texas","592","± 473"
"College Station city, Texas","4,466","± 1,329"
"Conroe city, Texas","3,770","± 1,450"
"Corpus Christi city, Texas","17,735","± 2,687"
"Dallas city, Texas","62,645","± 4,804"
"Denton city, Texas","4,535","± 1,784"
"Edinburg city, Texas","3,829","± 1,217"
"El Paso city, Texas","21,199","± 3,006"
"Flower Mound town, Texas","920","± 776"
"Fort Worth city, Texas","35,224","± 3,849"
"Frisco city, Texas","1,878","± 1,073"
"Garland city, Texas","4,992","± 1,607"
"Georgetown city, Texas","2,569","± 1,349"
"Grand Prairie city, Texas","4,431","± 1,208"
"Harlingen city, Texas","3,208","± 834"
