"Geographic Area Name","Total Units (2021)","MoE"
"Livonia city, Michigan","39,344","± 2,081"
"Novi city, Michigan","30,844","± 1,929"
"Rochester Hills city, Michigan","30,934","± 1,505"
"Southfield city, Michigan","37,514","± 2,132"
"Sterling Heights city, Michigan","53,932","± 2,059"
"Troy city, Michigan","34,953","± 1,608"
"Warren city, Michigan","60,142","± 2,551"
"Westland city, Michigan","39,435","± 2,629"
"Wyoming city, Michigan","29,880","± 2,232"
"Blaine city, Minnesota","26,622","± 1,597"
"Bloomington city, Minnesota","41,127","± 1,911"
"Brooklyn Park city, Minnesota","30,705","± 2,294"
"Duluth city, Minnesota","39,763","± 1,915"
"Eagan city, Minnesota","27,660","± 1,380"
"Lakeville city, Minnesota","25,337","± 1,678"
"Maple Grove city, Minnesota","28,282","± 1,578"
"Minneapolis city, Minnesota","203,633","± 4,178"
"Plymouth city, Minnesota","34,281","± 1,672"
"Rochester city, Minnesota","54,111","± 965"
"St. Cloud city, Minnesota","31,034","± 1,939"
"St. Paul city, Minnesota","131,275","± 2,691"
"Woodbury city, Minnesota","30,287","± 1,835"
"Gulfport city, Mississippi","33,401","± 1,719"
"Jackson city, Mississippi","74,637","± 2,038"
"Columbia city, Missouri","55,042","± 1,831"
"Independence city, Missouri","57,486","± 2,853"
"Kansas City city, Missouri","243,950","± 4,034"
"Lee's Summit city, Missouri","39,391","± 2,000"
"O'Fallon city, Missouri","35,283","± 1,553"
"St. Charles city, Missouri","32,822","± 1,375"
"St. Joseph city, Missouri","33,734","± 866"
"St. Louis city, Missouri","173,493","± 644"
"Springfield city, Missouri","83,888","± 1,875"
"Billings city, Montana","53,981","± 1,377"
"Missoula city, Montana","35,602","± 1,267"
"Lincoln city, Nebraska","126,262","± 1,224"
"Omaha city, Nebraska","212,802","± 1,693"
"Enterprise CDP, Nevada","88,599","± 4,160"
"Henderson city, Nevada","132,088","± 3,644"
"Las Vegas city, Nevada","269,602","± 4,527"
"North Las Vegas city, Nevada","91,034","± 3,629"
"Paradise CDP, Nevada","95,898","± 3,955"
"Reno city, Nevada","116,918","± 2,794"
"Sparks city, Nevada","47,203","± 2,592"
"Spring Valley CDP, Nevada","94,405","± 4,234"
"Sunrise Manor CDP, Nevada","70,430","± 3,157"
"Manchester city, New Hampshire","50,479","± 2,333"
"Nashua city, New Hampshire","38,955","± 1,878"
"Bayonne city, New Jersey","30,021","± 1,915"
"Camden city, New Jersey","28,066","± 1,988"
"Clifton city, New Jersey","34,132","± 2,586"
"East Orange city, New Jersey","29,376","± 1,867"
"Elizabeth city, New Jersey","49,554","± 2,218"
"Jersey City city, New Jersey","131,609","± 3,580"
"Lakewood CDP, New Jersey","14,210","± 2,005"
"Newark city, New Jersey","122,145","± 3,802"
"Passaic city, New Jersey","21,049","± 1,323"
"Paterson city, New Jersey","54,231","± 2,244"
"Toms River CDP, New Jersey","39,067","± 2,759"
"Trenton city, New Jersey","36,389","± 2,350"
"Union City city, New Jersey","26,280","± 1,704"
"Albuquerque city, New Mexico","256,814","± 2,299"
"Las Cruces city, New Mexico","48,065","± 2,114"
"Rio Rancho city, New Mexico","40,978","± 1,044"
"Santa Fe city, New Mexico","45,246","± 1,421"
"Albany city, New York","50,720","± 2,733"
"Buffalo city, New York","137,222","± 3,077"
"Cheektowaga CDP, New York","34,541","± 1,913"
"Mount Vernon city, New York","27,528","± 1,831"
"New Rochelle city, New York","33,043","± 2,151"
"New York city, New York","3,641,931","± 2,894"
"Rochester city, New York","103,333","± 3,267"
"Schenectady city, New York","30,921","± 1,692"
"Syracuse city, New York","70,055","± 2,696"
"Yonkers city, New York","83,368","± 3,165"
"Asheville city, North Carolina","52,159","± 3,162"
"Cary town, North Carolina","69,951","± 2,794"
"Charlotte city, North Carolina","393,631","± 3,480"
"Concord city, North Carolina","42,877","± 2,147"
"Durham city, North Carolina","131,917","± 1,868"
"Fayetteville city, North Carolina","91,054","± 1,851"
"Gastonia city, North Carolina","35,696","± 1,861"
"Greensboro city, North Carolina","139,565","± 3,225"
"Greenville city, North Carolina","45,122","± 2,429"
"High Point city, North Carolina","45,472","± 2,158"
"Jacksonville city, North Carolina","25,381","± 2,061"
"Raleigh city, North Carolina","217,866","± 4,672"
"Wilmington city, North Carolina","63,490","± 2,432"
"Winston-Salem city, North Carolina","114,871","± 2,572"
"Bismarck city, North Dakota","35,318","± 889"
"Fargo city, North Dakota","61,277","± 1,511"
"Akron city, Ohio","93,546","± 2,721"
"Canton city, Ohio","36,101","± 2,129"
"Cincinnati city, Ohio","160,420","± 4,032"
"Cleveland city, Ohio","202,735","± 4,511"
"Columbus city, Ohio","422,120","± 4,966"
"Dayton city, Ohio","68,591","± 2,694"
"Lorain city, Ohio","31,664","± 2,024"
"Parma city, Ohio","35,322","± 1,919"
"Toledo city, Ohio","133,129","± 2,443"
"Broken Arrow city, Oklahoma","46,629","± 1,515"
"Edmond city, Oklahoma","38,476","± 1,762"
