"Geographic Area Name","1, detached (2024)","MoE"
"Rochester Hills city, Michigan","19,859","± 1,698"
"Southfield city, Michigan","17,999","± 2,085"
"Sterling Heights city, Michigan","35,955","± 2,484"
"Troy city, Michigan","24,331","± 1,727"
"Warren city, Michigan","41,987","± 2,301"
"Westland city, Michigan","22,699","± 1,645"
"Wyoming city, Michigan","21,962","± 1,784"
"Blaine city, Minnesota","19,986","± 1,254"
"Bloomington city, Minnesota","20,375","± 1,690"
"Brooklyn Park city, Minnesota","18,498","± 1,824"
"Duluth city, Minnesota","24,176","± 1,484"
"Eagan city, Minnesota","14,311","± 1,111"
"Lakeville city, Minnesota","19,670","± 1,525"
"Maple Grove city, Minnesota","18,363","± 1,388"
"Minneapolis city, Minnesota","85,943","± 3,424"
"Plymouth city, Minnesota","18,199","± 1,313"
"Rochester city, Minnesota","33,145","± 2,013"
"St. Cloud city, Minnesota","15,691","± 1,781"
"St. Paul city, Minnesota","61,674","± 2,836"
"Woodbury city, Minnesota","18,085","± 1,669"
"Gulfport city, Mississippi","23,662","± 2,077"
"Jackson city, Mississippi","50,210","± 2,614"
"Columbia city, Missouri","31,552","± 1,994"
"Independence city, Missouri","39,558","± 2,588"
"Kansas City city, Missouri","152,524","± 4,535"
"Lee's Summit city, Missouri","30,642","± 1,917"
"O'Fallon city, Missouri","28,363","± 1,648"
"St. Charles city, Missouri","18,957","± 1,353"
"St. Joseph city, Missouri","23,546","± 1,610"
"St. Louis city, Missouri","76,390","± 3,491"
"Springfield city, Missouri","49,174","± 2,220"
"Billings city, Montana","32,546","± 2,035"
"Missoula city, Montana","18,546","± 1,561"
"Lincoln city, Nebraska","75,486","± 2,798"
"Omaha city, Nebraska","131,517","± 4,008"
"Enterprise CDP, Nevada","70,676","± 5,039"
"Henderson city, Nevada","100,272","± 4,299"
"Las Vegas city, Nevada","171,297","± 5,358"
"North Las Vegas city, Nevada","75,311","± 3,361"
"Paradise CDP, Nevada","31,325","± 2,903"
"Reno city, Nevada","65,055","± 3,144"
"Sparks city, Nevada","30,200","± 2,367"
"Spring Valley CDP, Nevada","48,255","± 3,797"
"Sunrise Manor CDP, Nevada","34,071","± 2,750"
"Manchester city, New Hampshire","18,859","± 2,029"
"Nashua city, New Hampshire","18,904","± 1,967"
"Bayonne city, New Jersey","4,525","± 1,033"
"Camden city, New Jersey","4,597","± 1,270"
"Clifton city, New Jersey","16,239","± 1,686"
"East Orange city, New Jersey","6,565","± 1,487"
"Elizabeth city, New Jersey","8,053","± 1,385"
"Jersey City city, New Jersey","9,364","± 1,895"
