City,Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024
"Sunrise Manor CDP, Nevada","70,430","70,198","62,737","63,529","7,693","6,669","34,333","32,561","28,404","30,968","70,430","70,198","70,430","70,198","36,836","34,071","3,729","3,468","2,270","1,388","2,537","3,950"
"Manchester city, New Hampshire","50,479","51,403","48,649","48,163","1,830","3,240","23,884","22,836","24,765","25,327","50,479","51,403","50,479","51,403","18,862","18,859","2,543","2,933","5,464","6,414","2,528","3,686"
"Nashua city, New Hampshire","38,955","42,561","36,986","41,039","1,969","1,522","20,206","21,820","16,780","19,219","38,955","42,561","38,955","42,561","17,507","18,904","2,459","2,885","5,066","5,433","2,227","2,810"
"Bayonne city, New Jersey","30,021","32,569","28,375","30,657","1,646","1,912","9,807","9,220","18,568","21,437","30,021","32,569","30,021","32,569","4,463","4,525","2,688","2,824","2,485","2,764","2,328","4,729"
"Camden city, New Jersey","28,066","27,709","24,276","24,871","3,790","2,838","8,557","8,360","15,719","16,511","28,066","27,709","28,066","27,709","3,326","4,597","1,438",983,460,800,"2,230","2,448"
"Clifton city, New Jersey","34,132","35,620","32,408","34,482","1,724","1,138","19,414","21,344","12,994","13,138","34,132","35,620","34,132","35,620","17,008","16,239",591,683,990,"1,257","1,451","2,297"
"East Orange city, New Jersey","29,376","31,661","28,318","29,947","1,058","1,714","9,207","9,871","19,111","20,076","29,376","31,661","29,376","31,661","6,526","6,565","1,756","2,579","2,398","3,805","7,994","8,917"
"Elizabeth city, New Jersey","49,554","48,518","46,107","45,767","3,447","2,751","11,319","12,413","34,788","33,354","49,554","48,518","49,554","48,518","5,840","8,053","3,900","2,510","5,702","5,062","3,985","5,112"
"Jersey City city, New Jersey","131,609","139,835","119,158","129,336","12,451","10,499","34,358","35,019","84,800","94,317","131,609","139,835","131,609","139,835","9,949","9,364","7,650","9,861","13,698","11,639","38,693","44,899"
"Lakewood CDP, New Jersey","14,210","15,755","13,701","14,617",509,"1,138","5,634","6,469","8,067","8,148","14,210","15,755","14,210","15,755","5,204","5,730",867,728,538,983,"1,590",901
"Newark city, New Jersey","122,145","118,991","115,145","108,018","7,000","10,973","24,002","25,380","91,143","82,638","122,145","118,991","122,145","118,991","13,047","15,498","7,286","9,507","7,923","9,977","19,238","17,005"
"Passaic city, New Jersey","21,049","22,676","20,446","21,883",603,793,"4,640","5,703","15,806","16,180","21,049","22,676","21,049","22,676","3,617","3,744","2,114","2,622","1,604","1,725","2,096","2,327"
"Paterson city, New Jersey","54,231","51,363","51,612","48,639","2,619","2,724","12,739","15,618","38,873","33,021","54,231","51,363","54,231","51,363","8,102","8,033","3,007","2,045","2,138","2,234","4,560","5,291"
"Toms River CDP, New Jersey","39,067","41,095","35,128","37,508","3,939","3,587","27,960","30,968","7,168","6,540","39,067","41,095","39,067","41,095","30,906","30,451",907,"1,273",681,"1,027",943,930
"Trenton city, New Jersey","36,389","31,821","34,116","30,208","2,273","1,613","13,827","11,209","20,289","18,999","36,389","31,821","36,389","31,821","5,428","5,189",255,"1,843","1,637",349,"6,828","4,608"
"Union City city, New Jersey","26,280","27,745","24,041","26,343","2,239","1,402","4,900","4,736","19,141","21,607","26,280","27,745","26,280","27,745","1,252","1,350","4,247","4,399","2,067","4,052","3,757","3,115"
"Albuquerque city, New Mexico","256,814","261,899","243,582","243,739","13,232","18,160","147,964","152,398","95,618","91,341","256,814","261,899","256,814","261,899","157,573","162,207","12,186","12,686","12,451","12,240","16,304","17,669"
"Las Cruces city, New Mexico","48,065","50,867","45,991","47,363","2,074","3,504","24,866","27,700","21,125","19,663","48,065","50,867","48,065","50,867","28,551","31,572","2,609","1,154","1,460","1,370","1,593","1,847"
"Rio Rancho city, New Mexico","40,978","43,647","40,013","41,604",965,"2,043","32,422","34,010","7,591","7,594","40,978","43,647","40,978","43,647","34,670","38,528",938,527,450,0,891,"1,454"
"Santa Fe city, New Mexico","45,246","49,662","40,641","44,273","4,605","5,389","27,861","28,669","12,780","15,604","45,246","49,662","45,246","49,662","24,780","28,080","1,902","2,367","1,610","2,656","2,014","2,420"
"Albany city, New York","50,720","52,788","44,279","48,873","6,441","3,915","17,296","18,625","26,983","30,248","50,720","52,788","50,720","52,788","13,931","16,058","2,505","3,427","2,238","3,478","5,838","5,548"
"Buffalo city, New York","137,222","136,533","122,569","119,620","14,653","16,913","54,108","55,745","68,461","63,875","137,222","136,533","137,222","136,533","54,098","49,990","3,530","3,343","4,670","6,058","8,410","9,451"
"Cheektowaga CDP, New York","34,541","34,762","33,247","32,721","1,294","2,041","23,806","23,845","9,441","8,876","34,541","34,762","34,541","34,762","23,311","24,081",833,"1,442",483,68,748,506
"Mount Vernon city, New York","27,528","27,180","26,465","25,069","1,063","2,111","12,980","11,726","13,485","13,343","27,528","27,180","27,528","27,180","5,880","7,334","2,446","2,036","3,553","3,950","6,623","5,016"
"New Rochelle city, New York","33,043","35,086","32,877","34,362",166,724,"17,578","19,359","15,299","15,003","33,043","35,086","33,043","35,086","12,771","14,157","1,215","1,598","3,515","4,753","8,950","9,777"
"New York city, New York","3,641,931","3,737,632","3,263,895","3,379,651","378,036","357,981","1,085,936","1,104,351","2,177,959","2,275,300","3,641,931","3,737,632","3,641,931","3,737,632","350,360","326,708","234,613","248,273","573,237","607,555","1,213,187","1,233,995"
"Rochester city, New York","103,333","108,892","93,263","96,205","10,070","12,687","38,125","37,412","55,138","58,793","103,333","108,892","103,333","108,892","49,304","45,899","2,841","4,072","4,506","6,499","8,985","13,661"
"Schenectady city, New York","30,921","32,000","28,965","30,424","1,956","1,576","13,589","13,888","15,376","16,536","30,921","32,000","30,921","32,000","12,981","10,604",308,"1,549","1,077",820,"2,654","2,276"
"Syracuse city, New York","70,055","69,639","62,663","61,878","7,392","7,761","27,039","25,907","35,624","35,971","70,055","69,639","70,055","69,639","31,584","28,062","2,993","4,262","3,416","5,180","9,491","9,195"
"Yonkers city, New York","83,368","87,491","81,397","82,784","1,971","4,707","40,385","36,196","41,012","46,588","83,368","87,491","83,368","87,491","20,609","22,026","5,119","5,196","8,627","11,233","22,725","22,119"
"Asheville city, North Carolina","52,159","54,967","38,131","38,210","14,028","16,757","20,896","21,008","17,235","17,202","52,159","54,967","52,159","54,967","30,009","29,455","3,669","4,413","2,400","2,924","3,282","3,748"
"Cary town, North Carolina","69,951","76,557","65,254","74,460","4,697","2,097","44,779","51,004","20,475","23,456","69,951","76,557","69,951","76,557","42,802","45,295","5,003","4,880","3,227","4,362","3,637","3,956"
"Charlotte city, North Carolina","393,631","415,975","365,269","381,274","28,362","34,701","193,930","192,439","171,339","188,835","393,631","415,975","393,631","415,975","207,293","206,709","37,582","43,115","24,213","26,275","40,615","57,140"
"Concord city, North Carolina","42,877","44,833","33,859","41,845","9,018","2,988","24,616","25,732","9,243","16,113","42,877","44,833","42,877","44,833","30,475","31,579","2,406","2,803","1,937","1,031","1,092","1,609"
"Durham city, North Carolina","131,917","146,201","122,412","133,270","9,505","12,931","62,550","70,734","59,862","62,536","131,917","146,201","131,917","146,201","66,133","72,632","14,592","16,334","5,910","8,671","10,619","12,118"
"Fayetteville city, North Carolina","91,054","93,506","83,147","83,705","7,907","9,801","38,079","43,295","45,068","40,410","91,054","93,506","91,054","93,506","55,338","58,785","7,694","7,747","4,588","3,981","1,737","1,673"
"Gastonia city, North Carolina","35,696","36,671","33,292","32,437","2,404","4,234","17,830","17,366","15,462","15,071","35,696","36,671","35,696","36,671","24,362","23,719","1,813","2,877",672,770,991,848
"Greensboro city, North Carolina","139,565","139,194","123,955","129,645","15,610","9,549","69,834","64,566","54,121","65,079","139,565","139,194","139,565","139,194","77,333","72,822","12,005","11,586","9,745","9,632","5,977","5,616"
"Greenville city, North Carolina","45,122","47,780","41,575","42,003","3,547","5,777","12,529","14,279","29,046","27,724","45,122","47,780","45,122","47,780","15,656","16,755","5,497","9,295","3,060","3,512","1,840","3,397"
"High Point city, North Carolina","45,472","51,373","42,738","48,520","2,734","2,853","24,359","26,527","18,379","21,993","45,472","51,373","45,472","51,373","28,194","31,203","2,534","6,462","2,089","1,130","1,394","1,609"
"Jacksonville city, North Carolina","25,381","25,860","22,024","24,029","3,357","1,831","7,704","9,283","14,320","14,746","25,381","25,860","25,381","25,860","9,889","11,790","1,582","2,582","1,089","1,075","1,541",576
"Raleigh city, North Carolina","217,866","234,750","194,917","219,004","22,949","15,746","103,367","108,529","91,550","110,475","217,866","234,750","217,866","234,750","98,096","104,054","26,983","20,258","13,087","16,033","20,050","29,590"
"Wilmington city, North Carolina","63,490","67,186","59,341","61,531","4,149","5,655","27,455","29,467","31,886","32,064","63,490","67,186","63,490","67,186","31,342","34,731","6,209","6,077","5,904","5,101","4,214","5,733"
"Winston-Salem city, North Carolina","114,871","116,276","101,551","108,695","13,320","7,581","56,834","62,908","44,717","45,787","114,871","116,276","114,871","116,276","71,985","71,730","8,105","8,832","4,049","4,844","5,803","6,079"
"Bismarck city, North Dakota","35,318","35,757","31,426","34,239","3,892","1,518","20,389","22,315","11,037","11,924","35,318","35,757","35,318","35,757","16,883","17,768","1,489","2,662","3,672","2,814","2,874","3,043"
"Fargo city, North Dakota","61,277","67,310","58,269","66,021","3,008","1,289","25,536","27,214","32,733","38,807","61,277","67,310","61,277","67,310","21,878","22,710","5,559","7,276","14,100","14,390","5,646","10,151"
"Akron city, Ohio","93,546","94,725","84,914","86,815","8,632","7,910","42,714","46,831","42,200","39,984","93,546","94,725","93,546","94,725","63,358","63,761","3,649","4,118","2,714","2,589","5,670","6,711"
"Canton city, Ohio","36,101","32,425","31,168","28,487","4,933","3,938","16,922","14,081","14,246","14,406","36,101","32,425","36,101","32,425","26,566","22,370","1,226",955,205,"1,090","2,311","1,684"
"Cincinnati city, Ohio","160,420","160,935","144,929","145,964","15,491","14,971","55,411","58,544","89,518","87,420","160,420","160,935","160,420","160,935","58,779","62,190","16,085","15,925","10,683","9,581","21,127","21,810"
"Cleveland city, Ohio","202,735","204,873","171,321","171,450","31,414","33,423","67,039","79,062","104,282","92,388","202,735","204,873","202,735","204,873","98,774","96,047","7,697","7,764","6,769","8,403","26,651","26,072"
"Columbus city, Ohio","422,120","436,552","390,605","396,650","31,515","39,902","175,427","181,936","215,178","214,714","422,120","436,552","422,120","436,552","193,185","192,785","36,511","38,782","19,038","22,596","28,608","36,060"
"Dayton city, Ohio","68,591","73,068","55,114","59,778","13,477","13,290","27,278","31,193","27,836","28,585","68,591","73,068","68,591","73,068","43,717","47,128","2,864","4,037","2,250","2,247","4,585","3,292"
"Lorain city, Ohio","31,664","31,527","27,852","28,174","3,812","3,353","15,723","16,848","12,129","11,326","31,664","31,527","31,664","31,527","21,766","20,272","1,980","1,657",866,530,626,"1,164"
"Parma city, Ohio","35,322","34,643","33,401","33,016","1,921","1,627","24,934","23,964","8,467","9,052","35,322","34,643","35,322","34,643","27,456","26,687","1,695",669,317,545,"2,123","2,349"
"Toledo city, Ohio","133,129","131,630","120,895","118,699","12,234","12,931","67,831","63,028","53,064","55,671","133,129","131,630","133,129","131,630","88,326","85,748","6,503","7,842","4,146","3,773","7,134","8,707"
"Broken Arrow city, Oklahoma","46,629","48,629","45,138","46,035","1,491","2,594","32,859","33,298","12,279","12,737","46,629","48,629","46,629","48,629","38,189","39,019","2,550","2,842","1,005","1,172",979,"1,066"
"Edmond city, Oklahoma","38,476","41,692","36,530","38,421","1,946","3,271","26,293","27,297","10,237","11,124","38,476","41,692","38,476","41,692","31,534","33,061",986,"1,915",685,784,915,"1,741"
"Lawton city, Oklahoma","40,112","39,738","33,921","33,438","6,191","6,300","14,221","16,029","19,700","17,409","40,112","39,738","40,112","39,738","26,903","27,095","2,491","2,474","1,249",595,619,692
"Norman city, Oklahoma","57,307","57,165","53,446","54,834","3,861","2,331","27,203","31,492","26,243","23,342","57,307","57,165","57,307","57,165","35,664","37,089","4,850","2,713",941,693,"2,791","3,542"
"Oklahoma City city, Oklahoma","302,241","314,255","275,285","290,311","26,956","23,944","164,470","165,385","110,815","124,926","302,241","314,255","302,241","314,255","204,895","212,321","16,984","14,275","7,274","8,637","13,807","17,645"
"Tulsa city, Oklahoma","194,402","194,104","173,943","176,944","20,459","17,160","89,307","90,269","84,636","86,675","194,402","194,104","194,402","194,104","122,258","117,938","17,805","16,866","8,530","10,177","11,234","12,611"
"Beaverton city, Oregon","44,099","43,690","42,858","41,793","1,241","1,897","19,674","21,012","23,184","20,781","44,099","43,690","44,099","43,690","18,128","17,105","3,466","3,902","3,045","2,273","6,038","4,798"
"Bend city, Oregon","47,882","51,443","44,620","47,408","3,262","4,035","30,412","28,264","14,208","19,144","47,882","51,443","47,882","51,443","34,379","34,989","1,099","1,616",585,"1,150","1,873","2,694"
"Eugene city, Oregon","78,322","82,143","74,740","76,758","3,582","5,385","38,201","37,033","36,539","39,725","78,322","82,143","78,322","82,143","42,059","43,100","4,450","3,563","3,113","4,761","6,510","8,202"
"Gresham city, Oregon","46,296","42,195","43,487","40,617","2,809","1,578","25,532","22,149","17,955","18,468","46,296","42,195","46,296","42,195","25,404","22,330","2,767","4,200","3,793","2,893","4,386","2,418"
"Hillsboro city, Oregon","41,432","46,379","40,891","43,858",541,"2,521","20,442","22,389","20,449","21,469","41,432","46,379","41,432","46,379","20,516","20,787","2,865","4,682","1,591","2,594","5,655","4,293"
"Medford city, Oregon","37,661","38,961","36,525","36,626","1,136","2,335","22,221","21,096","14,304","15,530","37,661","38,961","37,661","38,961","25,289","22,933",682,755,730,"1,207","2,705","2,931"
"Portland city, Oregon","303,483","315,899","286,734","294,419","16,749","21,480","153,121","149,322","133,613","145,097","303,483","315,899","303,483","315,899","161,622","161,773","14,350","17,591","19,891","23,515","49,238","58,922"
"Salem city, Oregon","69,247","72,661","64,959","67,518","4,288","5,143","36,174","36,544","28,785","30,974","69,247","72,661","69,247","72,661","40,706","41,685","3,826","4,795","2,855","3,134","3,211","5,260"
"Allentown city, Pennsylvania","51,405","47,980","47,204","43,767","4,201","4,213","19,662","19,384","27,542","24,383","51,405","47,980","51,405","47,980","14,022","11,764","3,307","3,073","1,827",676,"3,874","3,384"
"Bethlehem city, Pennsylvania","31,754","32,460","30,099","30,860","1,655","1,600","15,875","15,488","14,224","15,372","31,754","32,460","31,754","32,460","12,602","10,985","2,139","1,792",782,516,"2,135","2,494"
"Erie city, Pennsylvania","42,194","45,557","38,636","41,112","3,558","4,445","21,061","21,942","17,575","19,170","42,194","45,557","42,194","45,557","25,494","26,767","1,042","1,237",646,925,"2,326","1,824"
"Philadelphia city, Pennsylvania","733,015","763,527","660,921","702,646","72,094","60,881","348,935","364,468","311,986","338,178","733,015","763,527","733,015","763,527","72,869","65,148","18,448","17,967","22,659","32,969","82,129","91,508"
"Pittsburgh city, Pennsylvania","159,435","167,913","136,747","142,997","22,688","24,916","66,729","69,067","70,018","73,930","159,435","167,913","159,435","167,913","69,660","72,293","6,905","9,978","6,881","7,695","18,374","21,220"
"Reading city, Pennsylvania","34,964","35,408","32,504","33,334","2,460","2,074","12,833","14,241","19,671","19,093","34,964","35,408","34,964","35,408","4,576","2,905","1,399","1,537","1,100",331,"1,523","2,390"
"Scranton city, Pennsylvania","35,098","35,202","30,096","29,438","5,002","5,764","16,172","13,626","13,924","15,812","35,098","35,202","35,098","35,202","17,876","16,696",682,"1,211","1,072",925,"1,863","2,281"
"Cranston city, Rhode Island","34,482","33,284","33,049","31,333","1,433","1,951","23,083","21,590","9,966","9,743","34,482","33,284","34,482","33,284","22,719","20,686","1,263",967,611,740,"1,400","1,986"
"Pawtucket city, Rhode Island","32,238","31,824","29,735","30,706","2,503","1,118","14,803","15,282","14,932","15,424","32,238","31,824","32,238","31,824","10,700","10,986","1,620",583,631,925,"2,736","2,658"
"Providence city, Rhode Island","78,329","81,131","68,179","73,854","10,150","7,277","27,713","30,294","40,466","43,560","78,329","81,131","78,329","81,131","18,963","21,273","1,556","3,311","2,006","3,436","10,589","10,946"
"Warwick city, Rhode Island","38,375","36,715","36,595","35,437","1,780","1,278","26,983","25,573","9,612","9,864","38,375","36,715","38,375","36,715","27,152","25,110","1,423","2,340","2,008","1,618","2,125","2,963"
"Charleston city, South Carolina","75,367","80,579","63,391","71,361","11,976","9,218","36,857","38,237","26,534","33,124","75,367","80,579","75,367","80,579","37,585","38,733","7,078","4,369","3,477","6,511","8,097","12,265"
"Columbia city, South Carolina","59,270","64,975","51,455","56,847","7,815","8,128","23,564","24,107","27,891","32,740","59,270","64,975","59,270","64,975","28,858","29,573","5,586","5,467","2,821","6,125","5,802","9,090"
"Greenville city, South Carolina","37,958","38,636","34,154","35,129","3,804","3,507","13,514","15,278","20,640","19,851","37,958","38,636","37,958","38,636","16,309","15,417","3,592","3,828","4,593","3,595","5,016","6,099"
"Mount Pleasant town, South Carolina","41,499","42,710","37,983","39,609","3,516","3,101","28,130","31,909","9,853","7,700","41,499","42,710","41,499","42,710","25,972","29,635",813,"1,405","1,872","2,270","3,527","2,865"
"North Charleston city, South Carolina","56,930","61,674","47,324","54,982","9,606","6,692","25,582","27,531","21,742","27,451","56,930","61,674","56,930","61,674","28,689","30,987","4,638","3,864","2,899","4,689","1,849","2,150"
"Rock Hill city, South Carolina","31,490","34,935","29,268","31,931","2,222","3,004","16,120","17,092","13,148","14,839","31,490","34,935","31,490","34,935","19,521","19,994","1,705","4,121","2,139","2,041","1,389","1,738"
"Rapid City city, South Dakota","34,819","37,216","32,471","33,659","2,348","3,557","21,223","22,083","11,248","11,576","34,819","37,216","34,819","37,216","21,816","21,856","1,978","3,468","2,430","3,651","1,687","1,538"
"Sioux Falls city, South Dakota","86,893","97,927","83,498","93,366","3,395","4,561","51,017","54,741","32,481","38,625","86,893","97,927","86,893","97,927","48,147","49,010","5,722","4,516","9,288","11,451","4,501","8,798"
"Chattanooga city, Tennessee","86,385","89,451","77,299","82,182","9,086","7,269","41,455","40,357","35,844","41,825","86,385","89,451","86,385","89,451","52,388","49,141","4,178","5,155","6,778","4,703","6,112","9,424"
"Clarksville city, Tennessee","68,485","76,694","63,787","72,910","4,698","3,784","34,601","37,232","29,186","35,678","68,485","76,694","68,485","76,694","45,167","48,161","1,614","2,259","1,656","1,768",821,"1,519"
"Franklin city, Tennessee","34,177","37,964","33,275","34,906",902,"3,058","22,105","22,298","11,170","12,608","34,177","37,964","34,177","37,964","21,693","22,986","1,706","3,423","1,304","1,847","2,232","1,636"
"Jackson city, Tennessee","29,394","29,084","26,505","27,977","2,889","1,107","13,878","13,679","12,627","14,298","29,394","29,084","29,394","29,084","19,198","18,333","1,411","2,228",378,900,731,758
"Johnson City city, Tennessee","33,824","34,301","30,806","32,089","3,018","2,212","15,041","16,558","15,765","15,531","33,824","34,301","33,824","34,301","17,607","17,038","3,040","2,628",788,"2,223","1,669","1,100"
"Knoxville city, Tennessee","94,457","99,290","85,151","89,783","9,306","9,507","40,535","41,396","44,616","48,387","94,457","99,290","94,457","99,290","51,080","50,045","8,651","13,533","6,170","7,032","8,173","9,219"
"Memphis city, Tennessee","288,491","291,759","256,968","250,830","31,523","40,929","119,622","111,737","137,346","139,093","288,491","291,759","288,491","291,759","176,062","174,213","16,284","21,659","5,214","8,637","18,009","21,946"
"Murfreesboro city, Tennessee","67,416","71,868","58,371","64,232","9,045","7,636","35,354","30,860","23,017","33,372","67,416","71,868","67,416","71,868","37,531","36,737","4,979","8,181","4,971","6,307","4,043","4,888"
"Nashville-Davidson metropolitan government (balance), Tennessee","331,262","369,824","305,247","331,090","26,015","38,734","162,426","171,381","142,821","159,709","331,262","369,824","331,262","369,824","168,658","176,596","28,794","27,722","17,545","20,901","39,419","57,634"
"Abilene city, Texas","53,099","55,160","48,398","47,920","4,701","7,240","27,148","27,821","21,250","20,099","53,099","55,160","53,099","55,160","38,575","38,573","2,182","1,339","1,149","1,544","1,031","2,281"
"Allen city, Texas","38,372","41,663","37,461","40,163",911,"1,500","26,252","26,632","11,209","13,531","38,372","41,663","38,372","41,663","29,018","29,655","2,144","1,320",970,"1,627","4,632","5,176"
"Amarillo city, Texas","89,810","87,454","82,129","78,852","7,681","8,602","48,900","45,981","33,229","32,871","89,810","87,454","89,810","87,454","63,675","60,277","3,832","4,415","2,963","2,412","3,729","4,441"
"Arlington city, Texas","156,653","158,894","146,888","146,132","9,765","12,762","78,883","77,401","68,005","68,731","156,653","158,894","156,653","158,894","94,349","89,829","11,985","14,012","5,208","6,241","8,092","9,905"
"Atascocita CDP, Texas","31,181","35,687","29,579","33,739","1,602","1,948","24,796","29,033","4,783","4,706","31,181","35,687",,,,,,,,,,
"Austin city, Texas","469,156","518,574","449,399","484,550","19,757","34,024","196,458","199,801","252,941","284,749","469,156","518,574","469,156","518,574","201,992","212,673","51,562","57,839","41,881","47,302","80,709","102,430"
"Baytown city, Texas","30,642","34,763","28,264","30,767","2,378","3,996","14,353","15,489","13,911","15,278","30,642","34,763","30,642","34,763","17,797","20,628","2,106","2,585","1,451","1,563","1,601","3,510"
"Beaumont city, Texas","54,306","52,008","46,375","44,103","7,931","7,905","24,674","27,465","21,701","16,638","54,306","52,008","54,306","52,008","35,557","35,967","3,435","2,068","1,142","1,462","1,469","3,234"
"Brownsville city, Texas","62,000","68,583","56,522","65,105","5,478","3,478","34,440","41,741","22,082","23,364","62,000","68,583","62,000","68,583","44,703","48,101","1,488","1,279","2,089","2,147","2,465","5,011"
"Bryan city, Texas","37,247","38,062","32,910","34,936","4,337","3,126","14,206","18,786","18,704","16,150","37,247","38,062","37,247","38,062","18,878","21,597","2,388","1,981",864,"1,139","3,411","3,868"
"Carrollton city, Texas","51,894","56,799","50,308","53,825","1,586","2,974","28,355","32,522","21,953","21,303","51,894","56,799","51,894","56,799","30,070","33,201","4,412","3,001","2,410","2,669","4,594","6,677"
"Cedar Park city, Texas","30,710","29,481","30,407","28,889",303,592,"19,960","18,199","10,447","10,690","30,710","29,481","30,710","29,481","21,710","20,580","1,915","1,802","1,454","1,130","2,138","3,162"
"College Station city, Texas","48,960","55,151","41,586","50,685","7,374","4,466","16,867","17,545","24,719","33,140","48,960","55,151","48,960","55,151","21,052","24,271","3,152","3,396","2,522","1,777","3,642","5,598"
"Conroe city, Texas","39,740","49,157","37,297","45,387","2,443","3,770","21,695","25,247","15,602","20,140","39,740","49,157","39,740","49,157","22,996","28,848","4,568","4,973","3,234","3,238","2,642","2,985"
"Corpus Christi city, Texas","137,431","139,618","117,366","121,883","20,065","17,735","67,874","69,525","49,492","52,358","137,431","139,618","137,431","139,618","89,356","89,294","7,800","8,290","3,203","5,297","5,689","7,403"
"Dallas city, Texas","591,773","599,962","536,008","537,317","55,765","62,645","229,518","226,859","306,490","310,458","591,773","599,962","591,773","599,962","247,155","241,750","71,373","52,529","47,920","43,604","108,657","142,319"
"Denton city, Texas","61,038","63,538","57,963","59,003","3,075","4,535","27,294","30,820","30,669","28,183","61,038","63,538","61,038","63,538","32,169","37,554","5,625","3,453","4,195","5,310","4,940","5,922"
"Edinburg city, Texas","39,973","40,423","37,541","36,594","2,432","3,829","18,418","18,418","19,123","18,176","39,973","40,423","39,973","40,423","23,276","22,604",847,"1,674",0,47,461,"1,196"
"El Paso city, Texas","261,779","267,769","242,529","246,570","19,250","21,199","147,788","151,778","94,741","94,792","261,779","267,769","261,779","267,769","177,199","177,271","15,191","13,023","6,353","7,111","12,638","12,360"
"Flower Mound town, Texas","28,382","30,111","27,696","29,191",686,920,"22,860","23,509","4,836","5,682","28,382","30,111",,"30,111",,"25,136",,544,,308,,"2,074"
"Fort Worth city, Texas","361,341","397,627","334,286","362,403","27,055","35,224","185,197","210,450","149,089","151,953","361,341","397,627","361,341","397,627","236,281","259,508","23,442","25,257","16,507","21,077","25,226","35,197"
"Frisco city, Texas","74,074","86,733","72,282","84,855","1,792","1,878","46,921","54,072","25,361","30,783","74,074","86,733","74,074","86,733","50,736","57,622","3,039","2,013","3,448","3,473","10,512","18,018"
"Garland city, Texas","80,577","86,420","77,777","81,428","2,800","4,992","46,943","47,064","30,834","34,364","80,577","86,420","80,577","86,420","55,385","54,625","9,652","9,748","2,201","5,572","3,532","5,215"
"Georgetown city, Texas","31,605","42,097","30,207","39,528","1,398","2,569","21,162","24,789","9,045","14,739","31,605","42,097","31,605","42,097","23,699","28,706","1,342","1,002",976,"1,674","1,239","4,012"
"Grand Prairie city, Texas","67,743","71,787","64,208","67,356","3,535","4,431","36,706","41,074","27,502","26,282","67,743","71,787","67,743","71,787","42,359","44,141","3,659","4,878","2,355","2,885","3,923","4,816"
"Harlingen city, Texas","30,752","29,798","27,051","26,590","3,701","3,208","16,053","13,792","10,998","12,798","30,752","29,798","30,752","29,798","18,279","17,669","1,324",943,398,490,825,"2,682"
"Houston city, Texas","1,028,763","1,070,556","924,981","943,336","103,782","127,220","390,226","385,594","534,755","557,742","1,028,763","1,070,556","1,028,763","1,070,556","444,183","448,484","112,057","118,969","79,491","68,908","191,749","236,338"
"Irving city, Texas","100,800","103,492","95,309","93,239","5,491","10,253","34,544","33,405","60,765","59,834","100,800","103,492","100,800","103,492","40,162","39,167","15,336","15,496","7,025","10,547","13,998","16,498"
"Killeen city, Texas","63,491","66,889","57,875","60,609","5,616","6,280","27,360","29,807","30,515","30,802","63,491","66,889","63,491","66,889","36,714","40,747","6,464","2,217","1,224","1,194",327,"3,801"
"Laredo city, Texas","82,105","87,698","76,095","80,968","6,010","6,730","48,145","52,589","27,950","28,379","82,105","87,698","82,105","87,698","54,480","58,251","2,146","3,552","1,211","2,484","4,610","3,958"
"League City city, Texas","45,107","49,049","44,419","45,985",688,"3,064","33,163","35,295","11,256","10,690","45,107","49,049","45,107","49,049","33,699","38,840","2,077","1,533","3,001",878,"2,489","4,497"
"Leander city, Texas","24,692","30,656","24,031","29,616",661,"1,040","18,282","21,021","5,749","8,595","24,692","30,656","24,692","30,656","21,128","25,118",630,"2,211","1,035","1,038",316,569
"Lewisville city, Texas","49,094","55,941","46,897","53,925","2,197","2,016","21,108","25,821","25,789","28,104","49,094","55,941","49,094","55,941","22,944","27,113","5,868","5,647","5,921","4,082","5,638","7,597"
"Longview city, Texas","35,008","36,026","31,072","33,947","3,936","2,079","16,342","19,932","14,730","14,015","35,008","36,026","35,008","36,026","19,410","25,447","2,765","1,957","1,705","1,796","1,653","1,089"
"Lubbock city, Texas","113,800","124,364","104,426","109,722","9,374","14,642","53,722","56,452","50,704","53,270","113,800","124,364","113,800","124,364","73,731","82,129","6,167","6,953","3,137","4,560","7,808","7,225"
"McAllen city, Texas","53,023","56,730","48,438","49,555","4,585","7,175","28,632","31,074","19,806","18,481","53,023","56,730","53,023","56,730","35,884","36,171","1,314","3,419","1,646","1,467","1,615","1,530"
"McKinney city, Texas","76,364","88,397","73,357","85,091","3,007","3,306","47,064","53,793","26,293","31,298","76,364","88,397","76,364","88,397","55,249","61,208","3,371","4,132","2,284","2,334","6,952","10,645"
"Mansfield city, Texas","26,120","32,209","25,327","30,382",793,"1,827","17,817","21,856","7,510","8,526","26,120","32,209","26,120","32,209","20,044","24,615",612,"1,169","1,160","2,078","2,061","2,033"
"Mesquite city, Texas","55,252","58,835","52,023","55,474","3,229","3,361","33,675","35,806","18,348","19,668","55,252","58,835","55,252","58,835","39,741","41,579","2,829","4,094","2,311","1,713","2,238","3,669"
