"Region","Doctorate degree","MoE"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","66,781","± 2,273"
"San Juan-Bayamón-Caguas, PR Metro Area","23,013","± 1,444"
"San Luis Obispo-Paso Robles, CA Metro Area","3,519","± 395"
"Santa Cruz-Watsonville, CA Metro Area","5,607","± 585"
"Santa Fe, NM Metro Area","4,490","± 464"
"Santa Maria-Santa Barbara, CA Metro Area","7,229","± 563"
"Santa Rosa-Petaluma, CA Metro Area","5,258","± 432"
"Savannah, GA Metro Area","4,282","± 628"
"Scranton--Wilkes-Barre, PA Metro Area","4,498","± 525"
"Seattle-Tacoma-Bellevue, WA Metro Area","62,230","± 1,909"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","1,626","± 310"
"Sebring, FL Metro Area","664","± 213"
"Sheboygan, WI Metro Area","549","± 162"
"Sherman-Denison, TX Metro Area","1,092","± 270"
"Shreveport-Bossier City, LA Metro Area","2,504","± 468"
"Sierra Vista-Douglas, AZ Metro Area","1,060","± 298"
"Sioux City, IA-NE-SD Metro Area","699","± 189"
"Sioux Falls, SD-MN Metro Area","2,399","± 337"
"Slidell-Mandeville-Covington, LA Metro Area","2,318","± 402"
"South Bend-Mishawaka, IN-MI Metro Area","4,075","± 438"
"Spartanburg, SC Metro Area","2,318","± 345"
"Spokane-Spokane Valley, WA Metro Area","5,324","± 596"
"Springfield, IL Metro Area","1,852","± 292"
"Springfield, MA Metro Area","3,588","± 499"
"Springfield, MO Metro Area","3,619","± 468"
"Springfield, OH Metro Area","575","± 159"
"State College, PA Metro Area","7,235","± 575"
"Staunton-Stuarts Draft, VA Metro Area","1,293","± 265"
"Stockton-Lodi, CA Metro Area","3,413","± 493"
"Sumter, SC Metro Area","428","± 161"
"Syracuse, NY Metro Area","7,085","± 486"
"Tallahassee, FL Metro Area","6,868","± 707"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","31,555","± 1,351"
"Terre Haute, IN Metro Area","1,778","± 287"
"Texarkana, TX-AR Metro Area","600","± 184"
"Toledo, OH Metro Area","5,312","± 566"
"Topeka, KS Metro Area","1,787","± 435"
"Traverse City, MI Metro Area","1,716","± 247"
"Trenton-Princeton, NJ Metro Area","9,482","± 663"
"Tucson, AZ Metro Area","17,290","± 1,188"
"Tulsa, OK Metro Area","7,848","± 498"
"Tuscaloosa, AL Metro Area","4,373","± 603"
"Twin Falls, ID Metro Area","983","± 292"
"Tyler, TX Metro Area","2,047","± 445"
"Urban Honolulu, HI Metro Area","12,566","± 968"
"Utica-Rome, NY Metro Area","2,524","± 344"
"Valdosta, GA Metro Area","1,410","± 322"
"Vallejo, CA Metro Area","3,025","± 459"
"Victoria, TX Metro Area","456","± 166"
"Vineland, NJ Metro Area","639","± 202"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","18,931","± 1,181"
"Visalia, CA Metro Area","1,245","± 266"
"Waco, TX Metro Area","2,991","± 432"
"Walla Walla, WA Metro Area","833","± 200"
"Warner Robins, GA Metro Area","1,665","± 455"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","148,077","± 3,417"
"Waterbury-Shelton, CT Metro Area","4,483","± 703"
"Waterloo-Cedar Falls, IA Metro Area","1,690","± 267"
"Watertown-Fort Drum, NY Metro Area","535","± 138"
"Wausau, WI Metro Area","668","± 142"
"Weirton-Steubenville, WV-OH Metro Area","651","± 190"
"Wenatchee-East Wenatchee, WA Metro Area","795","± 222"
"Wheeling, WV-OH Metro Area","1,050","± 223"
"Wichita, KS Metro Area","4,389","± 471"
"Wichita Falls, TX Metro Area","1,033","± 267"
"Wildwood-The Villages, FL Metro Area","1,436","± 325"
"Williamsport, PA Metro Area","963","± 311"
"Wilmington, NC Metro Area","4,562","± 564"
"Winchester, VA-WV Metro Area","796","± 205"
"Winston-Salem, NC Metro Area","7,266","± 789"
"Worcester, MA Metro Area","12,826","± 1,047"
"Yakima, WA Metro Area","977","± 237"
"York-Hanover, PA Metro Area","2,857","± 385"
"Youngstown-Warren, OH Metro Area","1,610","± 276"
"Yuba City, CA Metro Area","916","± 332"
"Yuma, AZ Metro Area","365","± 108"
