"Region","Management of companies and enterprises"
"Sioux Falls, SD-MN Metro Area","318"
"Slidell-Mandeville-Covington, LA Metro Area","0"
"South Bend-Mishawaka, IN-MI Metro Area","148"
"Spartanburg, SC Metro Area","59"
"Spokane-Spokane Valley, WA Metro Area","103"
"Springfield, IL Metro Area","58"
"Springfield, MA Metro Area","38"
"Springfield, MO Metro Area","200"
"Springfield, OH Metro Area","105"
"State College, PA Metro Area","1"
"Staunton-Stuarts Draft, VA Metro Area","35"
"Stockton-Lodi, CA Metro Area","190"
"Sumter, SC Metro Area","45"
"Syracuse, NY Metro Area","169"
"Tallahassee, FL Metro Area","15"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","1,336"
"Terre Haute, IN Metro Area","38"
"Texarkana, TX-AR Metro Area","17"
"Toledo, OH Metro Area","192"
"Topeka, KS Metro Area","34"
"Traverse City, MI Metro Area","4"
"Trenton-Princeton, NJ Metro Area","143"
"Tucson, AZ Metro Area","282"
"Tulsa, OK Metro Area","274"
"Tuscaloosa, AL Metro Area","76"
"Twin Falls, ID Metro Area","27"
"Tyler, TX Metro Area","58"
"Urban Honolulu, HI Metro Area","178"
"Utica-Rome, NY Metro Area","3"
"Valdosta, GA Metro Area","17"
"Vallejo, CA Metro Area","92"
"Victoria, TX Metro Area","0"
"Vineland, NJ Metro Area","9"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","404"
"Visalia, CA Metro Area","78"
"Waco, TX Metro Area","104"
"Walla Walla, WA Metro Area","0"
"Warner Robins, GA Metro Area","17"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","2,561"
"Waterbury-Shelton, CT Metro Area","84"
"Waterloo-Cedar Falls, IA Metro Area","23"
"Watertown-Fort Drum, NY Metro Area","18"
"Wausau, WI Metro Area","26"
"Weirton-Steubenville, WV-OH Metro Area","34"
"Wenatchee-East Wenatchee, WA Metro Area","19"
"Wheeling, WV-OH Metro Area","0"
"Wichita, KS Metro Area","177"
"Wichita Falls, TX Metro Area","44"
"Wildwood-The Villages, FL Metro Area","12"
"Williamsport, PA Metro Area","23"
"Wilmington, NC Metro Area","97"
"Winchester, VA-WV Metro Area","25"
"Winston-Salem, NC Metro Area","106"
"Worcester, MA Metro Area","190"
"Yakima, WA Metro Area","37"
"York-Hanover, PA Metro Area","181"
"Youngstown-Warren, OH Metro Area","72"
"Yuba City, CA Metro Area","72"
"Yuma, AZ Metro Area","121"
