"Region","Professional, scientific, and technical services","MoE"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","117,164","± 2,414"
"San Juan-Bayamón-Caguas, PR Metro Area","22,663","± 1,331"
"San Luis Obispo-Paso Robles, CA Metro Area","6,188","± 689"
"Santa Cruz-Watsonville, CA Metro Area","7,405","± 633"
"Santa Fe, NM Metro Area","4,976","± 521"
"Santa Maria-Santa Barbara, CA Metro Area","9,676","± 769"
"Santa Rosa-Petaluma, CA Metro Area","10,325","± 815"
"Savannah, GA Metro Area","7,289","± 906"
"Scranton--Wilkes-Barre, PA Metro Area","7,148","± 678"
"Seattle-Tacoma-Bellevue, WA Metro Area","175,498","± 3,179"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","3,020","± 501"
"Sebring, FL Metro Area","701","± 193"
"Sheboygan, WI Metro Area","971","± 177"
"Sherman-Denison, TX Metro Area","2,015","± 344"
"Shreveport-Bossier City, LA Metro Area","4,109","± 600"
"Sierra Vista-Douglas, AZ Metro Area","1,925","± 326"
"Sioux City, IA-NE-SD Metro Area","1,103","± 237"
"Sioux Falls, SD-MN Metro Area","4,485","± 563"
"Slidell-Mandeville-Covington, LA Metro Area","4,519","± 606"
"South Bend-Mishawaka, IN-MI Metro Area","4,286","± 495"
"Spartanburg, SC Metro Area","4,667","± 636"
"Spokane-Spokane Valley, WA Metro Area","9,516","± 828"
"Springfield, IL Metro Area","2,967","± 402"
"Springfield, MA Metro Area","4,986","± 518"
"Springfield, MO Metro Area","7,663","± 740"
"Springfield, OH Metro Area","1,459","± 281"
"State College, PA Metro Area","2,832","± 363"
"Staunton-Stuarts Draft, VA Metro Area","1,641","± 319"
"Stockton-Lodi, CA Metro Area","10,287","± 929"
"Sumter, SC Metro Area","884","± 229"
"Syracuse, NY Metro Area","11,614","± 765"
"Tallahassee, FL Metro Area","8,398","± 865"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","83,197","± 2,227"
"Terre Haute, IN Metro Area","1,053","± 252"
"Texarkana, TX-AR Metro Area","753","± 226"
"Toledo, OH Metro Area","8,328","± 787"
"Topeka, KS Metro Area","2,435","± 370"
"Traverse City, MI Metro Area","2,818","± 354"
"Trenton-Princeton, NJ Metro Area","11,515","± 888"
"Tucson, AZ Metro Area","18,737","± 1,331"
"Tulsa, OK Metro Area","15,412","± 699"
"Tuscaloosa, AL Metro Area","2,972","± 523"
"Twin Falls, ID Metro Area","866","± 216"
"Tyler, TX Metro Area","2,893","± 468"
"Urban Honolulu, HI Metro Area","16,208","± 832"
"Utica-Rome, NY Metro Area","4,870","± 590"
"Valdosta, GA Metro Area","1,217","± 264"
"Vallejo, CA Metro Area","6,866","± 682"
"Victoria, TX Metro Area","942","± 269"
"Vineland, NJ Metro Area","889","± 238"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","40,129","± 1,658"
"Visalia, CA Metro Area","3,138","± 636"
"Waco, TX Metro Area","3,033","± 464"
"Walla Walla, WA Metro Area","807","± 212"
"Warner Robins, GA Metro Area","3,054","± 463"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","349,667","± 4,626"
"Waterbury-Shelton, CT Metro Area","8,427","± 793"
"Waterloo-Cedar Falls, IA Metro Area","1,824","± 379"
"Watertown-Fort Drum, NY Metro Area","816","± 183"
"Wausau, WI Metro Area","1,460","± 244"
"Weirton-Steubenville, WV-OH Metro Area","1,065","± 206"
"Wenatchee-East Wenatchee, WA Metro Area","1,374","± 299"
"Wheeling, WV-OH Metro Area","1,063","± 227"
"Wichita, KS Metro Area","8,435","± 755"
"Wichita Falls, TX Metro Area","1,154","± 231"
"Wildwood-The Villages, FL Metro Area","563","± 219"
"Williamsport, PA Metro Area","1,255","± 266"
"Wilmington, NC Metro Area","8,296","± 787"
"Winchester, VA-WV Metro Area","3,149","± 491"
"Winston-Salem, NC Metro Area","7,531","± 706"
"Worcester, MA Metro Area","23,072","± 1,136"
"Yakima, WA Metro Area","1,633","± 407"
"York-Hanover, PA Metro Area","7,127","± 638"
"Youngstown-Warren, OH Metro Area","3,299","± 424"
"Yuba City, CA Metro Area","1,639","± 363"
"Yuma, AZ Metro Area","1,635","± 389"
