"Region","Public administration","MoE"
"Orlando-Kissimmee-Sanford, FL Metro Area","23,408","± 1,372"
"Oshkosh-Neenah, WI Metro Area","1,778","± 299"
"Owensboro, KY Metro Area","718","± 165"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","13,100","± 879"
"Paducah, KY-IL Metro Area","1,124","± 250"
"Palm Bay-Melbourne-Titusville, FL Metro Area","9,166","± 901"
"Panama City-Panama City Beach, FL Metro Area","5,281","± 548"
"Parkersburg-Vienna, WV Metro Area","1,177","± 226"
"Pensacola-Ferry Pass-Brent, FL Metro Area","7,944","± 678"
"Peoria, IL Metro Area","3,322","± 402"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","77,741","± 2,423"
"Phoenix-Mesa-Chandler, AZ Metro Area","52,934","± 1,969"
"Pinehurst-Southern Pines, NC Metro Area","1,499","± 338"
"Pittsburgh, PA Metro Area","21,607","± 1,071"
"Pittsfield, MA Metro Area","1,563","± 337"
"Pocatello, ID Metro Area","1,207","± 303"
"Ponce, PR Metro Area","4,108","± 477"
"Portland-South Portland, ME Metro Area","6,828","± 716"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","25,585","± 1,275"
"Port St. Lucie, FL Metro Area","5,164","± 790"
"Prescott Valley-Prescott, AZ Metro Area","2,703","± 394"
"Providence-Warwick, RI-MA Metro Area","22,182","± 1,357"
"Provo-Orem-Lehi, UT Metro Area","6,742","± 590"
"Pueblo, CO Metro Area","3,280","± 449"
"Punta Gorda, FL Metro Area","2,154","± 476"
"Racine-Mount Pleasant, WI Metro Area","1,727","± 310"
"Raleigh-Cary, NC Metro Area","17,444","± 1,259"
"Rapid City, SD Metro Area","3,126","± 468"
"Reading, PA Metro Area","3,069","± 393"
"Redding, CA Metro Area","3,026","± 432"
"Reno, NV Metro Area","7,047","± 708"
"Richmond, VA Metro Area","25,699","± 1,403"
"Riverside-San Bernardino-Ontario, CA Metro Area","57,334","± 2,088"
"Roanoke, VA Metro Area","3,291","± 419"
"Rochester, MN Metro Area","2,082","± 242"
"Rochester, NY Metro Area","10,180","± 714"
"Rockford, IL Metro Area","2,389","± 374"
"Rocky Mount, NC Metro Area","1,411","± 326"
"Rome, GA Metro Area","807","± 236"
"Sacramento-Roseville-Folsom, CA Metro Area","55,384","± 2,176"
"Saginaw, MI Metro Area","1,537","± 348"
"St. Cloud, MN Metro Area","1,465","± 225"
"St. George, UT Metro Area","1,580","± 343"
"St. Joseph, MO-KS Metro Area","1,357","± 250"
"St. Louis, MO-IL Metro Area","31,269","± 1,239"
"Salem, OR Metro Area","8,090","± 730"
"Salinas, CA Metro Area","5,589","± 696"
