"Region","90 or more minutes","MoE"
"Springfield, MO Metro Area","3,136","± 399"
"Springfield, OH Metro Area","736","± 201"
"State College, PA Metro Area","961","± 216"
"Staunton-Stuarts Draft, VA Metro Area","944","± 257"
"Stockton-Lodi, CA Metro Area","31,456","± 1,623"
"Sumter, SC Metro Area","1,074","± 283"
"Syracuse, NY Metro Area","4,817","± 524"
"Tallahassee, FL Metro Area","2,162","± 380"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","30,876","± 1,438"
"Terre Haute, IN Metro Area","1,796","± 352"
"Texarkana, TX-AR Metro Area","863","± 227"
"Toledo, OH Metro Area","3,863","± 528"
"Topeka, KS Metro Area","1,448","± 249"
"Traverse City, MI Metro Area","1,345","± 291"
"Trenton-Princeton, NJ Metro Area","7,786","± 1,030"
"Tucson, AZ Metro Area","6,731","± 705"
"Tulsa, OK Metro Area","6,394","± 511"
"Tuscaloosa, AL Metro Area","2,112","± 375"
"Twin Falls, ID Metro Area","752","± 214"
"Tyler, TX Metro Area","2,077","± 402"
"Urban Honolulu, HI Metro Area","9,586","± 727"
"Utica-Rome, NY Metro Area","2,239","± 364"
"Valdosta, GA Metro Area","1,157","± 310"
"Vallejo, CA Metro Area","11,424","± 1,030"
"Victoria, TX Metro Area","1,037","± 351"
"Vineland, NJ Metro Area","1,107","± 300"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","14,186","± 884"
"Visalia, CA Metro Area","3,623","± 567"
"Waco, TX Metro Area","3,003","± 537"
"Walla Walla, WA Metro Area","173","± 61"
"Warner Robins, GA Metro Area","1,927","± 515"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","92,525","± 2,619"
"Waterbury-Shelton, CT Metro Area","7,158","± 793"
"Waterloo-Cedar Falls, IA Metro Area","986","± 226"
"Watertown-Fort Drum, NY Metro Area","842","± 186"
"Wausau, WI Metro Area","1,015","± 154"
"Weirton-Steubenville, WV-OH Metro Area","931","± 229"
"Wenatchee-East Wenatchee, WA Metro Area","1,238","± 270"
"Wheeling, WV-OH Metro Area","1,825","± 324"
"Wichita, KS Metro Area","4,094","± 440"
"Wichita Falls, TX Metro Area","1,248","± 247"
"Wildwood-The Villages, FL Metro Area","789","± 300"
"Williamsport, PA Metro Area","1,073","± 203"
"Wilmington, NC Metro Area","3,917","± 631"
"Winchester, VA-WV Metro Area","4,147","± 584"
"Winston-Salem, NC Metro Area","6,055","± 644"
"Worcester, MA Metro Area","14,595","± 1,129"
"Yakima, WA Metro Area","1,605","± 287"
"York-Hanover, PA Metro Area","4,813","± 467"
"Youngstown-Warren, OH Metro Area","4,192","± 474"
"Yuba City, CA Metro Area","2,532","± 521"
"Yuma, AZ Metro Area","1,378","± 358"
