"Region","Unemployed","MoE"
"Rocky Mount, NC Metro Area","4,609","± 657"
"Rome, GA Metro Area","1,978","± 401"
"Sacramento-Roseville-Folsom, CA Metro Area","70,987","± 2,639"
"Saginaw, MI Metro Area","5,792","± 711"
"St. Cloud, MN Metro Area","4,705","± 646"
"St. George, UT Metro Area","2,822","± 445"
"St. Joseph, MO-KS Metro Area","2,325","± 412"
"St. Louis, MO-IL Metro Area","61,136","± 2,049"
"Salem, OR Metro Area","10,921","± 1,075"
"Salinas, CA Metro Area","10,068","± 765"
"Salisbury, MD Metro Area","4,082","± 665"
"Salt Lake City-Murray, UT Metro Area","25,612","± 1,531"
"San Angelo, TX Metro Area","1,770","± 326"
"San Antonio-New Braunfels, TX Metro Area","67,529","± 2,750"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","104,758","± 3,749"
"Sandusky, OH Metro Area","2,899","± 415"
"San Francisco-Oakland-Fremont, CA Metro Area","138,635","± 3,776"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","48,706","± 1,767"
"San Juan-Bayamón-Caguas, PR Metro Area","97,580","± 2,747"
"San Luis Obispo-Paso Robles, CA Metro Area","7,005","± 761"
"Santa Cruz-Watsonville, CA Metro Area","7,922","± 827"
"Santa Fe, NM Metro Area","4,114","± 494"
"Santa Maria-Santa Barbara, CA Metro Area","13,563","± 1,104"
"Santa Rosa-Petaluma, CA Metro Area","13,476","± 971"
"Savannah, GA Metro Area","11,806","± 1,030"
"Scranton--Wilkes-Barre, PA Metro Area","14,940","± 941"
"Seattle-Tacoma-Bellevue, WA Metro Area","102,267","± 2,683"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","3,614","± 669"
"Sebring, FL Metro Area","2,224","± 447"
"Sheboygan, WI Metro Area","1,490","± 344"
"Sherman-Denison, TX Metro Area","2,442","± 512"
"Shreveport-Bossier City, LA Metro Area","12,537","± 1,205"
"Sierra Vista-Douglas, AZ Metro Area","3,392","± 426"
"Sioux City, IA-NE-SD Metro Area","3,144","± 539"
"Sioux Falls, SD-MN Metro Area","3,457","± 469"
"Slidell-Mandeville-Covington, LA Metro Area","6,352","± 819"
"South Bend-Mishawaka, IN-MI Metro Area","8,023","± 820"
"Spartanburg, SC Metro Area","8,069","± 816"
"Spokane-Spokane Valley, WA Metro Area","16,352","± 948"
"Springfield, IL Metro Area","5,527","± 654"
"Springfield, MA Metro Area","13,781","± 1,228"
"Springfield, MO Metro Area","8,536","± 803"
"Springfield, OH Metro Area","4,173","± 522"
"State College, PA Metro Area","3,068","± 551"
"Staunton-Stuarts Draft, VA Metro Area","2,270","± 401"
"Stockton-Lodi, CA Metro Area","27,442","± 1,511"
"Sumter, SC Metro Area","3,231","± 569"
"Syracuse, NY Metro Area","17,572","± 1,069"
"Tallahassee, FL Metro Area","10,700","± 914"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","76,050","± 2,566"
"Terre Haute, IN Metro Area","4,477","± 518"
"Texarkana, TX-AR Metro Area","3,239","± 520"
"Toledo, OH Metro Area","18,798","± 1,150"
"Topeka, KS Metro Area","4,348","± 538"
"Traverse City, MI Metro Area","2,919","± 393"
"Trenton-Princeton, NJ Metro Area","12,165","± 1,041"
"Tucson, AZ Metro Area","28,264","± 1,723"
"Tulsa, OK Metro Area","26,495","± 1,168"
"Tuscaloosa, AL Metro Area","7,208","± 882"
"Twin Falls, ID Metro Area","1,871","± 382"
"Tyler, TX Metro Area","4,672","± 647"
"Urban Honolulu, HI Metro Area","23,328","± 1,233"
"Utica-Rome, NY Metro Area","6,350","± 529"
"Valdosta, GA Metro Area","3,716","± 562"
"Vallejo, CA Metro Area","13,027","± 1,165"
"Victoria, TX Metro Area","2,041","± 413"
"Vineland, NJ Metro Area","5,152","± 767"
