"Geographic Area Name","Median value (2024)","MoE"
"Lafayette city, Louisiana","263,600","± 18,618"
"Lake Charles city, Louisiana","203,000","± 22,327"
"Metairie CDP, Louisiana","329,800","± 13,251"
"New Orleans city, Louisiana","305,100","± 17,943"
"Shreveport city, Louisiana","182,100","± 13,632"
"Portland city, Maine","555,100","± 47,628"
"Baltimore city, Maryland","247,400","± 7,688"
"Bethesda CDP, Maryland","1,247,600","± 74,993"
"Columbia CDP, Maryland","539,200","± 28,527"
"Ellicott City CDP, Maryland","658,300","± 23,609"
"Frederick city, Maryland","453,600","± 15,388"
"Gaithersburg city, Maryland","530,500","± 63,935"
"Germantown CDP, Maryland","448,200","± 47,433"
"Glen Burnie CDP, Maryland","365,300","± 11,857"
"Rockville city, Maryland","708,400","± 39,547"
"Silver Spring CDP, Maryland","668,500","± 44,228"
"Waldorf CDP, Maryland","432,000","± 13,957"
"Boston city, Massachusetts","722,800","± 17,355"
"Brockton city, Massachusetts","459,400","± 17,936"
"Cambridge city, Massachusetts","1,149,800","± 84,324"
"Fall River city, Massachusetts","417,700","± 34,467"
"Framingham city, Massachusetts","637,700","± 16,287"
"Haverhill city, Massachusetts","521,100","± 33,388"
"Lawrence city, Massachusetts","517,200","± 58,243"
"Lowell city, Massachusetts","468,700","± 24,515"
"Lynn city, Massachusetts","560,700","± 28,434"
"Malden city, Massachusetts","616,200","± 51,472"
"New Bedford city, Massachusetts","395,400","± 19,895"
"Newton city, Massachusetts","1,303,100","± 114,869"
"Quincy city, Massachusetts","641,500","± 38,542"
"Somerville city, Massachusetts","894,300","± 39,912"
"Springfield city, Massachusetts","278,300","± 10,137"
"Waltham city, Massachusetts","759,600","± 61,169"
"Worcester city, Massachusetts","411,700","± 18,985"
"Ann Arbor city, Michigan","479,800","± 22,737"
"Dearborn city, Michigan","234,100","± 8,524"
"Detroit city, Michigan","95,900","± 7,548"
"Farmington Hills city, Michigan","374,100","± 17,858"
"Flint city, Michigan","63,000","± 8,022"
"Grand Rapids city, Michigan","286,500","± 9,826"
"Kalamazoo city, Michigan","196,100","± 15,806"
"Lansing city, Michigan","142,800","± 8,525"
"Livonia city, Michigan","292,700","± 6,572"
"Novi city, Michigan","474,900","± 31,439"
"Rochester Hills city, Michigan","443,600","± 15,182"
"Southfield city, Michigan","248,800","± 17,697"
"Sterling Heights city, Michigan","287,600","± 6,925"
"Troy city, Michigan","439,200","± 19,849"
"Warren city, Michigan","207,300","± 8,221"
"Westland city, Michigan","198,100","± 7,763"
"Wyoming city, Michigan","240,000","± 8,971"
"Blaine city, Minnesota","356,100","± 14,533"
"Bloomington city, Minnesota","377,600","± 11,779"
"Brooklyn Park city, Minnesota","338,500","± 8,894"
"Duluth city, Minnesota","268,700","± 15,615"
"Eagan city, Minnesota","426,200","± 28,643"
"Lakeville city, Minnesota","474,400","± 21,067"
"Maple Grove city, Minnesota","420,700","± 24,621"
"Minneapolis city, Minnesota","368,300","± 8,429"
"Plymouth city, Minnesota","517,000","± 35,154"
"Rochester city, Minnesota","326,100","± 14,921"
"St. Cloud city, Minnesota","245,200","± 20,376"
"St. Paul city, Minnesota","301,800","± 9,613"
"Woodbury city, Minnesota","455,300","± 16,664"
"Gulfport city, Mississippi","185,200","± 12,702"
"Jackson city, Mississippi","110,200","± 10,065"
"Columbia city, Missouri","311,700","± 23,756"
"Independence city, Missouri","200,900","± 15,132"
"Kansas City city, Missouri","261,600","± 8,639"
"Lee's Summit city, Missouri","357,500","± 11,037"
"O'Fallon city, Missouri","348,200","± 11,893"
"St. Charles city, Missouri","302,800","± 17,108"
"St. Joseph city, Missouri","173,800","± 11,339"
"St. Louis city, Missouri","214,500","± 13,575"
"Springfield city, Missouri","207,900","± 12,220"
"Billings city, Montana","360,900","± 15,367"
"Missoula city, Montana","562,000","± 35,684"
"Lincoln city, Nebraska","278,200","± 7,399"
"Omaha city, Nebraska","269,500","± 5,857"
"Enterprise CDP, Nevada","500,800","± 22,436"
"Henderson city, Nevada","520,400","± 16,649"
"Las Vegas city, Nevada","458,300","± 8,529"
"North Las Vegas city, Nevada","418,300","± 9,427"
"Paradise CDP, Nevada","388,100","± 17,075"
"Reno city, Nevada","567,700","± 20,910"
"Sparks city, Nevada","515,500","± 25,373"
"Spring Valley CDP, Nevada","440,200","± 20,460"
"Sunrise Manor CDP, Nevada","331,500","± 12,045"
"Manchester city, New Hampshire","413,800","± 21,249"
"Nashua city, New Hampshire","460,400","± 20,075"
"Bayonne city, New Jersey","491,200","± 40,892"
"Camden city, New Jersey","159,800","± 14,368"
"Clifton city, New Jersey","483,800","± 20,294"
"East Orange city, New Jersey","372,600","± 34,119"
"Elizabeth city, New Jersey","518,100","± 33,962"
"Jersey City city, New Jersey","571,700","± 39,269"
"Lakewood CDP, New Jersey","851,300","± 153,122"
"Newark city, New Jersey","396,600","± 27,643"
"Passaic city, New Jersey","433,500","± 42,479"
"Paterson city, New Jersey","387,400","± 33,546"
"Toms River CDP, New Jersey","447,500","± 20,656"
"Trenton city, New Jersey","232,100","± 38,066"
"Union City city, New Jersey","488,300","± 91,956"
"Albuquerque city, New Mexico","324,600","± 6,495"
"Las Cruces city, New Mexico","260,400","± 12,811"
"Rio Rancho city, New Mexico","354,000","± 12,901"
"Santa Fe city, New Mexico","467,100","± 19,970"
"Albany city, New York","258,000","± 13,566"
"Buffalo city, New York","187,000","± 13,683"
"Cheektowaga CDP, New York","219,500","± 6,193"
"Mount Vernon city, New York","513,300","± 57,120"
"New Rochelle city, New York","762,000","± 60,677"
"New York city, New York","778,600","± 8,906"
"Rochester city, New York","164,300","± 9,921"
"Schenectady city, New York","222,100","± 18,633"
"Syracuse city, New York","158,100","± 8,881"
"Yonkers city, New York","521,700","± 35,166"
"Apex town, North Carolina","658,700","± 24,304"
"Asheville city, North Carolina","500,400","± 47,074"
"Cary town, North Carolina","649,600","± 23,029"
"Charlotte city, North Carolina","431,900","± 10,611"
"Concord city, North Carolina","373,400","± 18,557"
"Durham city, North Carolina","439,400","± 13,725"
"Fayetteville city, North Carolina","211,300","± 7,698"
"Gastonia city, North Carolina","317,500","± 18,195"
"Greensboro city, North Carolina","290,200","± 15,072"
"Greenville city, North Carolina","273,100","± 20,342"
"High Point city, North Carolina","260,900","± 15,557"
"Huntersville town, North Carolina","533,900","± 33,179"
"Jacksonville city, North Carolina","225,100","± 11,362"
"Raleigh city, North Carolina","450,300","± 13,422"
"Wilmington city, North Carolina","428,900","± 27,672"
"Winston-Salem city, North Carolina","281,200","± 12,084"
"Bismarck city, North Dakota","315,900","± 23,809"
"Fargo city, North Dakota","292,900","± 17,766"
"Akron city, Ohio","142,200","± 6,403"
"Canton city, Ohio","101,200","± 14,300"
"Cincinnati city, Ohio","263,300","± 9,993"
