"Geographic Area Name","Median household income","MoE"
"Warwick city, Rhode Island","72,025","± 6,730"
"Charleston city, South Carolina","74,139","± 6,123"
"Columbia city, South Carolina","47,524","± 3,303"
"Greenville city, South Carolina","57,253","± 7,964"
"Mount Pleasant town, South Carolina","99,298","± 15,435"
"North Charleston city, South Carolina","55,864","± 7,543"
"Rock Hill city, South Carolina","60,237","± 6,150"
"Rapid City city, South Dakota","61,495","± 5,694"
"Sioux Falls city, South Dakota","73,273","± 2,828"
"Chattanooga city, Tennessee","55,065","± 5,346"
"Clarksville city, Tennessee","60,686","± 4,168"
"Franklin city, Tennessee","104,515","± 9,798"
"Jackson city, Tennessee","45,651","± 4,920"
"Johnson City city, Tennessee","56,248","± 7,996"
"Knoxville city, Tennessee","45,700","± 3,150"
"Memphis city, Tennessee","44,317","± 2,553"
"Murfreesboro city, Tennessee","77,584","± 6,864"
"Nashville-Davidson metropolitan government (balance), Tennessee","64,857","± 3,112"
"Abilene city, Texas","51,931","± 2,510"
"Allen city, Texas","107,438","± 9,071"
"Amarillo city, Texas","55,572","± 2,482"
"Arlington city, Texas","59,889","± 3,284"
"Atascocita CDP, Texas","101,686","± 24,307"
"Austin city, Texas","79,542","± 2,388"
"Baytown city, Texas","48,287","± 6,643"
"Beaumont city, Texas","51,361","± 4,128"
"Brownsville city, Texas","47,435","± 5,351"
"Bryan city, Texas","44,017","± 3,254"
"Carrollton city, Texas","86,647","± 6,313"
"Cedar Park city, Texas","114,450","± 16,506"
"College Station city, Texas","49,215","± 5,325"
"Conroe city, Texas","68,428","± 7,046"
"Corpus Christi city, Texas","59,812","± 3,470"
"Dallas city, Texas","57,995","± 2,091"
"Denton city, Texas","64,873","± 7,795"
"Edinburg city, Texas","47,596","± 5,102"
"El Paso city, Texas","51,241","± 1,687"
"Flower Mound town, Texas","144,642","± 15,274"
"Fort Worth city, Texas","68,235","± 2,997"
"Frisco city, Texas","130,118","± 10,227"
"Garland city, Texas","61,607","± 2,709"
"Georgetown city, Texas","79,601","± 9,338"
"Grand Prairie city, Texas","68,473","± 7,134"
"Harlingen city, Texas","50,861","± 9,109"
"Houston city, Texas","55,499","± 1,250"
"Irving city, Texas","70,340","± 3,715"
"Killeen city, Texas","51,619","± 3,012"
"Laredo city, Texas","52,438","± 3,179"
"League City city, Texas","101,382","± 19,191"
"Leander city, Texas","120,165","± 13,214"
"Lewisville city, Texas","75,915","± 3,836"
"Longview city, Texas","51,209","± 6,965"
"Lubbock city, Texas","54,747","± 3,133"
"McAllen city, Texas","57,359","± 6,477"
"McKinney city, Texas","98,317","± 10,651"
"Mansfield city, Texas","91,255","± 12,575"
"Mesquite city, Texas","60,957","± 5,598"
"Midland city, Texas","72,038","± 12,525"
"Mission city, Texas","57,749","± 9,764"
"Missouri City city, Texas","81,451","± 13,893"
"New Braunfels city, Texas","89,073","± 9,447"
"North Richland Hills city, Texas","78,496","± 7,027"
"Odessa city, Texas","61,964","± 7,938"
"Pasadena city, Texas","60,939","± 4,491"
"Pearland city, Texas","103,227","± 14,835"
"Pflugerville city, Texas","103,687","± 17,435"
"Pharr city, Texas","32,217","± 7,628"
"Plano city, Texas","95,002","± 6,987"
"Richardson city, Texas","85,580","± 5,816"
"Round Rock city, Texas","79,649","± 11,190"
"San Angelo city, Texas","60,030","± 6,405"
"San Antonio city, Texas","54,923","± 1,579"
"San Marcos city, Texas","36,080","± 8,680"
"Spring CDP, Texas","79,884","± 6,983"
"Sugar Land city, Texas","112,868","± 7,396"
"Temple city, Texas","58,284","± 4,944"
"The Woodlands CDP, Texas","104,787","± 16,579"
"Tyler city, Texas","54,998","± 6,996"
"Victoria city, Texas","54,786","± 7,635"
"Waco city, Texas","49,952","± 6,733"
"Wichita Falls city, Texas","50,786","± 3,817"
"Layton city, Utah","81,011","± 7,404"
"Lehi city, Utah","114,136","± 14,615"
"Ogden city, Utah","56,501","± 5,512"
"Orem city, Utah","72,449","± 3,860"
"Provo city, Utah","57,659","± 4,761"
"St. George city, Utah","59,365","± 7,263"
"Salt Lake City city, Utah","66,658","± 5,207"
