"Geographic Area Name","35.0 to 39.9 percent (2021)","MoE"
"Allentown city, Pennsylvania","2,336","± 855"
"Bethlehem city, Pennsylvania","558","± 385"
"Erie city, Pennsylvania","918","± 440"
"Philadelphia city, Pennsylvania","14,211","± 2,526"
"Pittsburgh city, Pennsylvania","4,096","± 1,053"
"Reading city, Pennsylvania","1,683","± 724"
"Scranton city, Pennsylvania","413","± 376"
"Cranston city, Rhode Island","276","± 277"
"Pawtucket city, Rhode Island","1,059","± 500"
"Providence city, Rhode Island","1,111","± 546"
"Warwick city, Rhode Island","298","± 344"
"Charleston city, South Carolina","1,548","± 1,039"
"Columbia city, South Carolina","2,112","± 805"
"Greenville city, South Carolina","2,302","± 947"
"Mount Pleasant town, South Carolina","635","± 626"
"North Charleston city, South Carolina","1,170","± 748"
"Rock Hill city, South Carolina","1,574","± 794"
"Rapid City city, South Dakota","481","± 352"
"Sioux Falls city, South Dakota","1,004","± 495"
"Chattanooga city, Tennessee","3,047","± 963"
"Clarksville city, Tennessee","2,693","± 1,330"
"Franklin city, Tennessee","374","± 269"
"Jackson city, Tennessee","479","± 385"
"Johnson City city, Tennessee","1,028","± 663"
"Knoxville city, Tennessee","2,616","± 917"
"Memphis city, Tennessee","8,951","± 1,885"
"Murfreesboro city, Tennessee","1,764","± 1,138"
"Nashville-Davidson metropolitan government (balance), Tennessee","8,775","± 1,923"
"Abilene city, Texas","1,449","± 643"
"Allen city, Texas","741","± 870"
"Amarillo city, Texas","1,075","± 526"
"Arlington city, Texas","6,766","± 2,015"
"Austin city, Texas","15,307","± 2,709"
"Baytown city, Texas","1,196","± 538"
"Beaumont city, Texas","1,556","± 915"
"Brownsville city, Texas","2,011","± 1,091"
"Bryan city, Texas","2,224","± 1,092"
"Carrollton city, Texas","1,576","± 831"
"Cedar Park city, Texas","424","± 484"
"College Station city, Texas","2,039","± 845"
"Conroe city, Texas","1,187","± 767"
"Corpus Christi city, Texas","2,556","± 911"
"Dallas city, Texas","23,558","± 3,868"
"Denton city, Texas","2,496","± 1,021"
"Edinburg city, Texas","1,094","± 968"
"El Paso city, Texas","5,687","± 1,850"
"Fort Worth city, Texas","12,004","± 2,598"
"Frisco city, Texas","2,282","± 1,024"
"Garland city, Texas","3,326","± 1,098"
"Georgetown city, Texas","309","± 351"
"Grand Prairie city, Texas","2,718","± 1,366"
"Harlingen city, Texas","416","± 407"
"Houston city, Texas","40,263","± 5,490"
"Irving city, Texas","2,913","± 1,099"
"Killeen city, Texas","2,305","± 1,201"
"Laredo city, Texas","841","± 466"
"League City city, Texas","1,833","± 1,538"
"Lewisville city, Texas","1,848","± 873"
"Longview city, Texas","1,093","± 830"
"Lubbock city, Texas","2,139","± 823"
"McAllen city, Texas","971","± 656"
"McKinney city, Texas","1,129","± 706"
"Mansfield city, Texas","1,149","± 1,004"
"Mesquite city, Texas","1,267","± 790"
"Midland city, Texas","294","± 300"
"Mission city, Texas","0","± 249"
"New Braunfels city, Texas","724","± 528"
"North Richland Hills city, Texas","1,073","± 790"
"Odessa city, Texas","1,080","± 899"
"Pasadena city, Texas","2,171","± 1,199"
"Pearland city, Texas","534","± 580"
"Pharr city, Texas","441","± 569"
"Plano city, Texas","2,984","± 1,171"
"Richardson city, Texas","969","± 612"
"Round Rock city, Texas","264","± 354"
"San Angelo city, Texas","885","± 703"
"San Antonio city, Texas","16,959","± 2,744"
"San Marcos city, Texas","1,466","± 1,094"
"Sugar Land city, Texas","345","± 337"
"Temple city, Texas","1,376","± 687"
"The Woodlands CDP, Texas","827","± 663"
"Tyler city, Texas","756","± 590"
"Victoria city, Texas","868","± 660"
"Waco city, Texas","2,058","± 1,074"
"Wichita Falls city, Texas","943","± 593"
"Layton city, Utah","899","± 583"
"Lehi city, Utah","458","± 502"
"Ogden city, Utah","936","± 554"
"Orem city, Utah","636","± 376"
"Provo city, Utah","1,735","± 717"
"St. George city, Utah","1,871","± 1,036"
"Salt Lake City city, Utah","2,388","± 803"
"Sandy city, Utah","521","± 314"
"South Jordan city, Utah","778","± 687"
"West Jordan city, Utah","304","± 285"
"West Valley City city, Utah","1,692","± 870"
"Alexandria city, Virginia","2,195","± 911"
"Arlington CDP, Virginia","2,977","± 1,037"
"Centreville CDP, Virginia","618","± 396"
"Chesapeake city, Virginia","1,367","± 634"
"Dale City CDP, Virginia","274","± 283"
"Hampton city, Virginia","1,821","± 907"
"Lynchburg city, Virginia","977","± 597"
"Newport News city, Virginia","4,485","± 1,250"
"Norfolk city, Virginia","3,806","± 1,331"
"Portsmouth city, Virginia","1,529","± 695"
"Richmond city, Virginia","3,174","± 892"
"Roanoke city, Virginia","472","± 319"
"Suffolk city, Virginia","1,083","± 706"
"Virginia Beach city, Virginia","4,128","± 1,125"
"Auburn city, Washington","772","± 470"
"Bellevue city, Washington","1,348","± 705"
"Bellingham city, Washington","854","± 504"
"Everett city, Washington","3,138","± 1,136"
"Federal Way city, Washington","1,130","± 640"
"Kennewick city, Washington","703","± 576"
"Kent city, Washington","1,434","± 667"
"Kirkland city, Washington","1,407","± 711"
"Marysville city, Washington","496","± 448"
"Pasco city, Washington","279","± 249"
"Redmond city, Washington","724","± 581"
"Renton city, Washington","1,223","± 741"
"Sammamish city, Washington","217","± 227"
"Seattle city, Washington","10,435","± 1,847"
"South Hill CDP, Washington","459","± 298"
"Spokane city, Washington","3,462","± 1,415"
"Spokane Valley city, Washington","1,500","± 698"
"Tacoma city, Washington","2,530","± 1,016"
"Vancouver city, Washington","3,139","± 1,040"
"Yakima city, Washington","1,083","± 677"
"Appleton city, Wisconsin","766","± 431"
"Eau Claire city, Wisconsin","688","± 483"
"Green Bay city, Wisconsin","1,134","± 634"
"Janesville city, Wisconsin","755","± 605"
"Kenosha city, Wisconsin","480","± 337"
"Madison city, Wisconsin","4,023","± 1,139"
"Milwaukee city, Wisconsin","6,522","± 1,148"
"Oshkosh city, Wisconsin","1,064","± 639"
"Racine city, Wisconsin","843","± 535"
"Waukesha city, Wisconsin","346","± 256"
"Cheyenne city, Wyoming","760","± 530"
"Bayamón zona urbana, Puerto Rico","1,019","± 603"
"Caguas zona urbana, Puerto Rico","113","± 134"
"Carolina zona urbana, Puerto Rico","1,010","± 656"
"Guaynabo zona urbana, Puerto Rico","0","± 254"
"Ponce zona urbana, Puerto Rico","446","± 312"
"San Juan zona urbana, Puerto Rico","3,347","± 913"
