"Geographic Area Name","Total Burdened (2021)","MoE"
"Erie city, Pennsylvania","19,170","± 1,826"
"Philadelphia city, Pennsylvania","338,178","± 9,150"
"Pittsburgh city, Pennsylvania","73,930","± 4,156"
"Reading city, Pennsylvania","19,093","± 2,144"
"Scranton city, Pennsylvania","15,812","± 1,706"
"Cranston city, Rhode Island","9,743","± 1,931"
"Pawtucket city, Rhode Island","15,424","± 2,418"
"Providence city, Rhode Island","43,560","± 3,372"
"Warwick city, Rhode Island","9,864","± 1,978"
"Charleston city, South Carolina","33,124","± 3,533"
"Columbia city, South Carolina","32,740","± 2,508"
"Greenville city, South Carolina","19,851","± 2,172"
"Mount Pleasant town, South Carolina","7,700","± 1,186"
"North Charleston city, South Carolina","27,451","± 3,687"
"Rock Hill city, South Carolina","14,839","± 1,961"
"Rapid City city, South Dakota","11,576","± 1,651"
"Sioux Falls city, South Dakota","38,625","± 2,663"
"Chattanooga city, Tennessee","41,825","± 3,275"
"Clarksville city, Tennessee","35,678","± 2,797"
"Franklin city, Tennessee","12,608","± 1,907"
"Jackson city, Tennessee","14,298","± 1,604"
"Johnson City city, Tennessee","15,531","± 2,244"
"Knoxville city, Tennessee","48,387","± 2,952"
"Memphis city, Tennessee","139,093","± 4,742"
"Murfreesboro city, Tennessee","33,372","± 3,289"
"Nashville-Davidson metropolitan government (balance), Tennessee","159,709","± 5,783"
"Abilene city, Texas","20,099","± 2,211"
"Allen city, Texas","13,531","± 1,868"
"Amarillo city, Texas","32,871","± 2,650"
"Arlington city, Texas","68,731","± 4,544"
"Austin city, Texas","284,749","± 9,296"
"Baytown city, Texas","15,278","± 2,348"
"Beaumont city, Texas","16,638","± 2,576"
"Brownsville city, Texas","23,364","± 2,346"
"Bryan city, Texas","16,150","± 1,765"
"Carrollton city, Texas","21,303","± 2,615"
"Cedar Park city, Texas","10,690","± 1,829"
"College Station city, Texas","33,140","± 1,989"
"Conroe city, Texas","20,140","± 2,546"
"Corpus Christi city, Texas","52,358","± 3,698"
"Dallas city, Texas","310,458","± 7,675"
"Denton city, Texas","28,183","± 2,423"
"Edinburg city, Texas","18,176","± 2,339"
"El Paso city, Texas","94,792","± 4,971"
"Flower Mound town, Texas","5,682","± 1,183"
"Fort Worth city, Texas","151,953","± 7,148"
"Frisco city, Texas","30,783","± 3,366"
"Garland city, Texas","34,364","± 2,785"
"Georgetown city, Texas","14,739","± 1,890"
"Grand Prairie city, Texas","26,282","± 3,039"
"Harlingen city, Texas","12,798","± 1,841"
"Houston city, Texas","557,742","± 10,878"
"Irving city, Texas","59,834","± 3,673"
"Killeen city, Texas","30,802","± 2,896"
"Laredo city, Texas","28,379","± 2,483"
"League City city, Texas","10,690","± 1,596"
"Leander city, Texas","8,595","± 1,775"
"Lewisville city, Texas","28,104","± 2,735"
"Longview city, Texas","14,015","± 1,844"
"Lubbock city, Texas","53,270","± 3,156"
"McAllen city, Texas","18,481","± 2,037"
"McKinney city, Texas","31,298","± 3,431"
"Mansfield city, Texas","8,526","± 1,874"
"Mesquite city, Texas","19,668","± 3,266"
"Midland city, Texas","19,245","± 2,686"
"Mission city, Texas","8,643","± 1,661"
"Missouri City city, Texas","4,270","± 1,153"
"New Braunfels city, Texas","16,929","± 2,239"
"North Richland Hills city, Texas","12,930","± 1,827"
"Odessa city, Texas","20,645","± 3,263"
"Pasadena city, Texas","22,241","± 2,121"
"Pearland city, Texas","11,720","± 2,149"
"Pflugerville city, Texas","6,987","± 1,520"
"Pharr city, Texas","10,773","± 1,395"
"Plano city, Texas","49,815","± 3,538"
"Richardson city, Texas","22,403","± 2,109"
"Round Rock city, Texas","22,120","± 2,506"
"Rowlett city, Texas","7,803","± 2,365"
"San Angelo city, Texas","19,128","± 1,974"
"San Antonio city, Texas","273,449","± 8,535"
"San Marcos city, Texas","19,458","± 1,684"
"Spring CDP, Texas","8,031","± 2,062"
"Sugar Land city, Texas","7,996","± 1,704"
"Temple city, Texas","15,581","± 2,200"
"The Woodlands CDP, Texas","16,988","± 2,607"
"Tyler city, Texas","19,489","± 1,917"
"Victoria city, Texas","13,446","± 1,606"
"Waco city, Texas","29,570","± 2,729"
"Wichita Falls city, Texas","16,674","± 1,916"
"Layton city, Utah","7,024","± 1,334"
"Lehi city, Utah","6,458","± 1,287"
"Ogden city, Utah","12,820","± 1,650"
"Orem city, Utah","12,642","± 1,439"
"Provo city, Utah","21,824","± 1,461"
"St. George city, Utah","13,654","± 2,051"
"Salt Lake City city, Utah","55,293","± 3,982"
"Sandy city, Utah","8,594","± 1,557"
"South Jordan city, Utah","5,565","± 1,207"
"West Jordan city, Utah","9,406","± 1,702"
